OHRP,Ohr Pharmaceuticals,NASDAQ
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.32,0.32,0.32,0.32
0.32,0.32,0.32,0.32
0.32,0.32,0.32,0.32
0.32,0.32,0.32,0.32
0.32,0.32,0.32,0.32
0.32,0.32,0.32,0.32
0.32,0.32,0.32,0.32
0.32,0.32,0.32,0.32
0.32,0.32,0.32,0.32
0.32,0.32,0.32,0.32
0.32,0.32,0.32,0.32
0.32,0.32,0.32,0.32
0.32,0.32,0.32,0.32
0.32,0.32,0.32,0.32
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.80,0.51,0.80,0.25
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41
