SGB,Southwest Georgia Financial Corporation Common Stock,NASDAQ
9.00,9.15,9.25,9.00
9.08,9.00,9.08,9.00
9.01,8.90,9.19,8.54
8.85,9.10,9.22,8.85
9.05,9.04,9.05,9.04
9.04,9.04,9.04,9.04
8.96,9.26,9.45,8.63
9.06,9.19,9.19,9.06
9.29,9.29,9.29,9.29
9.31,9.61,9.62,9.31
9.71,9.73,9.92,9.41
9.73,9.73,9.73,9.73
9.72,9.64,9.72,9.43
9.65,9.65,9.65,9.65
9.66,9.58,9.85,9.22
9.58,9.77,9.77,9.58
9.69,9.69,9.69,9.69
10.10,10.50,10.50,9.52
10.70,11.00,11.00,10.70
11.00,10.99,11.00,10.99
10.96,10.96,10.96,10.96
10.97,11.40,11.40,10.93
11.39,11.97,11.97,11.39
11.99,12.50,12.50,11.91
12.50,12.50,12.50,12.50
12.25,12.68,12.68,12.25
12.52,13.38,13.38,12.30
13.60,13.45,13.60,13.45
13.65,14.00,14.00,13.65
14.45,15.90,16.90,14.45
15.70,14.50,15.70,14.50
14.47,14.47,14.47,14.47
14.10,13.75,14.10,13.75
13.28,13.19,13.28,12.77
13.00,13.10,13.40,13.00
13.08,13.02,13.60,12.90
13.20,13.20,13.20,13.20
13.20,13.75,13.75,12.50
13.72,13.72,13.72,13.72
13.69,13.10,13.69,11.99
12.95,12.80,13.15,12.50
12.80,12.80,12.80,12.80
12.69,12.60,12.69,12.57
12.55,12.02,12.55,12.02
11.55,11.47,11.55,11.06
11.47,11.47,11.47,11.47
11.55,12.25,12.25,11.55
12.00,12.00,12.00,12.00
11.75,12.50,12.50,11.75
12.75,13.25,13.25,12.75
13.50,13.51,14.00,13.50
13.48,13.40,13.48,13.40
13.40,13.40,13.40,13.40
13.40,13.39,13.40,13.39
13.38,13.40,14.30,13.38
13.20,12.50,13.20,12.50
12.50,12.50,12.50,12.50
12.50,12.50,12.50,12.50
12.60,12.47,12.60,12.00
12.35,12.22,12.35,12.22
12.24,12.24,12.24,12.24
12.10,12.00,12.10,12.00
12.00,12.00,12.00,12.00
12.00,12.00,12.00,12.00
11.62,11.92,11.92,11.62
11.99,11.99,11.99,11.99
11.99,11.99,11.99,11.99
