FLS,Flowserve Corporation Common Stock,NASDAQ
96.39,97.01,97.33,95.16
97.10,98.09,98.97,96.60
98.01,100.80,100.91,98.01
100.75,103.57,103.94,100.45
102.78,107.88,107.97,102.78
108.01,108.41,108.79,106.68
107.24,105.32,107.25,104.67
105.47,105.26,106.12,102.93
105.15,106.01,106.66,104.16
105.89,104.72,106.23,104.33
104.82,104.99,105.59,104.29
103.94,103.75,104.01,101.46
103.57,100.62,104.09,99.10
100.16,100.02,102.38,98.75
100.75,97.89,101.82,97.61
97.72,96.11,98.48,95.69
96.05,95.94,96.54,93.86
97.00,95.19,97.00,94.59
91.81,90.17,94.40,89.75
92.99,94.33,95.83,92.12
94.97,96.24,97.16,94.09
95.58,95.56,97.48,95.15
94.18,92.17,94.34,91.68
91.80,92.11,92.42,89.15
92.05,91.51,93.25,90.80
92.71,92.81,93.65,91.85
92.75,92.31,93.16,90.95
92.28,94.26,94.43,91.57
93.51,94.36,94.50,92.00
95.65,96.32,96.46,94.70
97.00,97.34,98.28,96.41
97.43,98.57,98.75,96.73
98.32,98.91,99.64,97.86
99.76,99.09,99.76,98.32
98.96,96.74,99.18,96.30
97.27,96.69,97.64,95.38
93.09,97.18,97.60,91.71
97.10,100.09,100.54,96.58
100.49,103.53,104.00,100.48
104.33,105.75,106.50,103.94
105.81,105.71,106.99,105.27
105.46,105.74,106.90,104.95
106.22,107.44,107.58,106.22
107.67,107.55,107.95,106.28
107.16,105.36,107.17,104.76
105.00,105.24,105.49,103.85
104.82,105.34,105.52,103.12
105.70,105.12,106.07,104.39
104.76,104.93,105.28,103.67
105.11,106.31,106.46,104.70
106.60,106.50,107.68,106.22
106.66,106.31,107.10,105.96
104.56,104.56,106.60,104.26
103.42,104.85,104.88,102.70
105.36,109.93,110.00,104.90
109.57,108.88,110.21,108.37
109.57,109.82,112.30,109.52
110.31,109.33,110.53,108.90
109.78,110.51,111.16,109.78
110.07,109.93,110.74,109.56
109.69,110.27,110.84,108.89
111.23,113.00,114.33,110.51
113.70,114.72,114.81,113.25
114.19,115.75,116.05,113.90
115.35,114.89,115.88,114.52
114.19,114.58,114.82,112.73
115.14,115.07,115.60,114.48
115.75,116.42,117.27,115.59
115.83,115.65,116.70,114.64
115.45,117.32,117.50,115.36
117.29,118.43,119.44,116.12
117.73,115.14,118.12,114.01
114.53,114.81,115.42,112.66
115.83,115.02,116.88,114.36
115.30,115.49,116.09,114.61
114.44,116.01,116.54,113.00
116.57,116.38,116.82,115.37
117.21,118.90,119.83,117.17
118.82,115.73,119.13,115.38
116.20,116.37,117.09,115.48
117.58,118.91,119.15,117.11
119.26,114.58,119.44,114.39
115.14,117.02,117.54,114.58
115.35,110.71,115.45,109.12
106.94,107.18,108.00,105.08
110.51,107.39,114.21,101.00
107.58,103.50,109.05,103.14
107.39,111.64,111.64,104.92
109.25,111.96,113.99,109.21
