JCTCF,Jewett-Cameron Trading Company - Common Shares,NASDAQ
6.75,6.75,6.75,6.73
6.75,6.75,6.75,6.75
6.75,6.75,6.75,6.75
6.75,6.75,6.75,6.75
6.95,6.80,7.05,6.80
6.83,6.84,7.00,6.83
6.90,6.90,6.90,6.90
7.10,6.75,7.22,6.64
6.45,6.45,6.45,6.45
6.47,6.46,6.48,6.45
6.44,6.50,6.50,6.44
6.40,6.53,6.58,6.40
6.53,6.53,6.53,6.53
6.45,6.50,6.50,6.45
6.50,6.50,6.50,6.50
6.55,6.55,6.55,6.55
6.19,6.16,6.19,6.16
6.21,6.21,6.21,6.21
6.21,6.21,6.21,6.21
6.21,6.21,6.21,6.21
6.21,6.21,6.21,6.21
6.21,6.21,6.21,6.21
6.21,6.21,6.21,6.21
6.12,6.12,6.12,6.12
6.12,6.12,6.12,6.12
6.12,6.12,6.12,6.12
6.16,6.14,6.16,6.14
6.20,6.20,6.20,6.20
6.20,6.20,6.20,6.20
6.15,6.25,6.26,6.15
6.14,6.25,6.25,6.14
6.25,6.25,6.25,6.25
5.95,5.95,5.95,5.95
6.00,6.17,6.17,5.96
6.17,6.17,6.17,6.17
6.17,6.17,6.17,6.17
6.17,6.17,6.17,6.17
6.16,6.30,6.50,6.16
6.35,6.35,6.35,6.35
6.26,6.25,6.26,6.25
6.25,6.25,6.25,6.25
6.25,6.10,6.25,6.10
6.26,6.35,6.35,6.26
6.50,6.40,6.50,6.40
6.40,6.40,6.50,6.40
6.60,6.60,6.65,6.60
6.60,6.60,6.60,6.60
6.60,6.89,7.25,6.60
6.89,7.30,7.40,6.89
7.10,7.10,7.11,6.98
7.39,8.15,8.30,7.39
8.25,8.19,8.25,8.00
7.77,8.12,8.12,7.77
7.37,8.09,8.11,7.37
8.09,8.05,8.11,8.05
8.05,8.05,8.05,8.05
8.05,8.05,8.05,8.05
7.57,7.65,7.65,7.57
7.65,7.65,7.65,7.65
7.65,7.65,7.65,7.65
7.65,7.65,7.65,7.65
7.95,7.95,7.95,7.95
7.95,7.95,7.95,7.95
7.84,7.84,7.84,7.84
7.84,7.84,7.84,7.84
7.84,7.84,7.84,7.84
7.75,7.85,7.85,7.75
7.75,7.65,7.75,7.65
7.45,7.05,7.45,7.01
6.82,6.85,6.85,6.81
6.87,6.92,6.92,6.87
7.10,7.00,7.10,7.00
7.00,7.00,7.00,7.00
6.68,6.92,6.92,6.65
7.00,6.97,7.00,6.96
6.52,6.97,7.00,6.52
6.85,7.05,7.05,6.81
6.89,6.80,6.91,6.80
6.91,6.90,6.91,6.90
7.00,7.00,7.02,6.96
7.10,6.99,7.10,6.99
6.96,6.90,6.96,6.70
7.25,7.13,7.25,6.62
7.13,7.13,7.13,7.13
7.13,7.13,7.13,7.13
7.23,6.80,7.24,6.80
6.56,6.57,6.57,6.50
6.57,6.61,6.75,6.57
6.51,6.66,6.66,6.51
6.70,6.70,6.70,6.70
6.70,6.70,6.70,6.70
6.70,6.70,6.70,6.70
6.70,6.70,6.70,6.70
6.75,6.76,6.76,6.75
6.77,6.76,6.77,6.76
6.76,6.76,6.76,6.76
6.85,6.75,6.85,6.75
6.75,6.75,6.75,6.75
6.68,6.68,6.68,6.68
6.70,6.70,6.80,6.69
6.80,6.77,6.80,6.77
7.00,7.00,7.00,7.00
7.00,6.95,7.00,6.93
6.74,6.95,6.95,6.74
7.00,6.97,7.01,6.97
6.97,6.97,6.97,6.97
7.00,7.05,7.10,7.00
7.00,7.06,7.06,6.95
7.06,7.06,7.06,7.06
7.06,7.06,7.06,7.06
7.06,7.06,7.06,7.06
7.10,7.18,7.18,7.10
7.18,7.18,7.18,7.18
7.10,7.25,7.25,7.10
7.25,7.25,7.25,7.25
6.72,6.81,6.90,6.72
6.82,6.77,6.84,6.76
6.77,6.77,6.77,6.77
6.77,6.77,6.77,6.77
6.80,6.91,6.92,6.75
6.91,6.91,6.91,6.91
6.75,6.69,6.75,6.69
6.60,6.74,6.88,6.60
6.65,6.70,6.75,6.65
6.70,6.70,6.70,6.70
6.52,6.62,6.62,6.52
6.66,6.75,6.76,6.66
6.62,6.60,6.62,6.60
6.60,6.60,6.60,6.60
6.92,6.92,6.92,6.92
6.90,6.90,6.90,6.90
7.00,7.09,7.50,7.00
7.00,7.07,7.07,7.00
7.05,7.11,7.11,7.05
7.11,7.11,7.11,7.11
7.02,7.29,7.29,7.02
7.25,7.20,7.25,7.20
7.20,7.20,7.20,7.20
7.25,7.24,7.25,7.19
7.10,7.10,7.10,7.10
7.20,7.05,7.20,7.05
7.10,7.15,7.15,7.05
7.09,7.18,7.18,7.09
7.15,7.15,7.15,7.10
7.20,7.20,7.20,7.20
7.20,7.20,7.20,7.20
7.14,7.14,7.14,7.14
7.14,7.14,7.14,7.14
7.14,7.14,7.14,7.14
7.14,7.14,7.14,7.14
6.71,7.00,7.00,6.71
7.05,7.08,7.09,7.01
7.03,7.03,7.03,7.03
7.00,6.90,7.00,6.90
7.09,7.09,7.09,7.09
6.90,6.85,6.90,6.85
6.80,6.70,6.80,6.70
6.70,6.70,6.70,6.70
6.70,6.70,6.70,6.70
6.70,6.70,6.70,6.70
6.70,6.70,6.70,6.70
6.70,6.70,6.70,6.70
6.90,6.75,6.90,6.75
6.70,6.75,6.75,6.70
6.75,6.75,6.75,6.75
6.90,6.90,6.90,6.90
6.90,6.85,6.90,6.85
6.85,6.85,6.85,6.85
6.85,6.85,6.85,6.85
6.85,6.85,6.85,6.85
6.75,7.00,7.00,6.75
6.95,6.95,6.95,6.95
6.77,6.80,6.80,6.75
6.88,6.88,6.88,6.88
6.75,6.88,6.88,6.75
6.88,6.88,6.88,6.88
6.87,6.95,6.95,6.87
6.80,6.80,6.80,6.80
6.80,6.80,6.80,6.80
6.80,6.80,6.80,6.80
6.80,6.80,6.80,6.80
6.90,7.00,7.20,6.90
7.00,7.00,7.00,7.00
6.90,6.90,6.90,6.90
6.99,7.00,7.05,6.99
7.00,7.00,7.00,7.00
7.20,7.25,7.50,7.20
7.25,7.25,7.25,7.25
7.40,7.40,7.40,7.40
7.00,7.36,7.36,7.00
7.36,7.36,7.36,7.36
7.05,7.05,7.05,7.05
7.05,7.05,7.05,7.05
7.04,7.04,7.04,7.04
7.04,7.04,7.04,7.04
7.35,7.45,7.46,7.35
7.50,7.57,7.58,7.50
7.57,7.57,7.57,7.57
7.57,7.57,7.57,7.57
7.52,7.51,7.52,7.50
7.48,7.63,7.65,7.48
7.60,7.62,7.62,7.60
7.61,7.61,7.61,7.61
7.65,7.70,7.71,7.65
7.70,7.70,7.70,7.70
7.51,7.56,7.56,7.51
7.64,7.75,7.75,7.64
7.87,8.01,8.18,7.87
8.00,7.95,8.00,7.95
7.96,8.30,8.49,7.95
8.01,8.00,8.01,8.00
8.29,8.14,8.29,8.14
8.50,9.31,9.88,8.50
9.16,9.10,9.16,8.90
8.92,9.08,9.08,8.92
9.23,9.00,9.23,8.95
9.00,8.90,9.00,8.90
8.87,8.30,8.87,8.15
8.34,8.81,8.81,8.25
8.63,8.93,8.99,8.63
8.93,8.94,8.94,8.93
8.99,8.99,8.99,8.95
8.99,8.99,8.99,8.99
9.00,9.00,9.00,9.00
9.00,9.04,9.10,9.00
9.04,9.04,9.04,9.04
8.90,9.03,9.03,8.90
9.05,9.11,9.11,9.05
9.16,9.16,9.16,9.15
9.16,9.35,9.52,9.16
9.82,9.72,9.82,9.69
9.70,9.50,9.72,9.50
9.36,9.38,9.38,9.25
9.72,9.08,9.72,8.91
9.53,9.46,9.53,9.46
9.50,9.36,9.50,9.36
9.48,9.10,9.48,9.00
9.47,9.27,9.47,9.27
9.30,9.30,9.30,9.30
9.31,9.15,9.31,9.15
9.27,9.15,9.27,9.15
9.39,9.34,9.39,9.33
9.33,9.34,9.34,9.33
9.34,9.32,9.34,9.32
9.33,9.30,9.36,9.27
9.28,9.30,9.30,9.28
9.28,9.28,9.28,9.28
9.28,8.88,9.28,8.77
9.28,9.19,9.28,8.90
9.28,9.28,9.28,9.19
9.19,9.20,9.20,9.10
9.25,9.05,9.25,9.05
9.05,9.10,9.30,8.99
9.11,9.10,9.11,9.05
9.10,9.10,9.10,9.10
9.25,9.36,9.36,9.25
9.36,9.36,9.36,9.35
9.36,9.48,9.50,9.30
9.50,9.50,9.50,9.50
9.50,9.52,9.52,9.25
9.72,9.72,9.72,9.72
9.25,9.09,9.25,8.85
9.09,8.95,9.09,8.95
9.23,8.97,9.23,8.95
9.19,8.96,9.19,8.96
9.19,9.00,9.19,9.00
9.20,9.20,9.20,9.19
9.18,9.39,9.39,9.18
9.40,9.39,9.40,9.39
9.40,9.40,9.40,9.32
9.40,9.45,9.87,9.40
9.15,9.80,9.86,9.15
9.88,9.46,9.88,9.26
9.24,9.79,9.79,9.24
9.80,9.30,9.80,9.25
9.73,9.75,9.75,9.73
9.73,9.37,9.73,9.30
9.37,9.35,9.58,9.30
9.34,9.45,9.64,9.33
9.31,9.35,9.55,9.30
9.35,9.32,9.35,9.32
9.40,9.35,9.40,9.35
9.38,9.30,9.38,9.20
9.36,9.31,9.36,9.25
9.33,9.34,9.34,9.33
9.33,9.27,9.33,9.25
9.49,9.26,9.49,9.25
9.48,9.43,9.50,9.43
9.45,9.60,9.75,9.45
9.75,10.20,10.39,9.75
10.50,10.60,10.60,10.50
10.65,10.55,10.69,10.50
10.55,10.49,10.55,10.35
10.76,10.75,10.76,10.51
10.75,10.78,10.79,10.56
10.78,10.76,10.78,10.50
10.78,10.47,10.78,10.47
10.75,10.50,10.75,10.30
10.50,10.30,10.50,10.15
10.50,10.31,10.50,10.31
10.44,10.58,10.72,10.32
10.45,10.17,10.45,10.00
10.30,10.44,10.50,10.30
10.39,10.31,10.40,10.31
10.35,10.34,10.35,10.30
10.40,10.69,10.72,10.40
10.52,10.44,10.52,10.44
10.36,10.40,10.40,10.36
10.35,10.25,10.36,10.25
10.60,10.15,10.60,10.11
10.15,10.15,10.15,10.15
10.20,10.24,10.24,10.20
10.24,10.38,10.38,10.24
10.38,10.38,10.38,10.38
10.19,10.10,10.20,10.10
10.10,10.10,10.10,10.10
10.21,10.20,10.21,10.20
10.10,9.96,10.15,9.96
10.04,9.95,10.04,9.95
10.10,10.30,10.30,10.10
10.27,10.10,10.27,10.10
10.11,10.11,10.11,10.11
10.20,9.97,10.20,9.96
10.37,10.68,10.68,10.25
10.79,10.70,10.79,10.63
10.50,10.20,10.56,10.00
10.16,10.10,10.20,10.10
10.13,10.02,10.13,9.95
10.02,9.95,10.02,9.95
10.01,10.01,10.03,10.00
10.32,9.96,10.32,9.96
9.96,9.80,9.96,9.80
9.86,9.77,9.86,9.77
9.81,9.77,9.81,9.75
9.94,9.66,9.94,9.50
9.66,9.66,9.66,9.66
9.61,9.69,9.69,9.60
9.51,9.68,9.75,8.86
9.56,9.75,9.76,9.54
9.74,9.65,9.74,9.65
9.70,9.70,9.70,9.70
9.70,9.70,9.70,9.70
9.70,9.70,9.70,9.70
9.75,9.75,9.75,9.75
9.97,9.99,9.99,9.97
9.99,9.99,9.99,9.99
9.99,10.06,10.25,9.99
10.01,10.06,10.30,10.00
10.03,10.05,10.05,10.01
10.05,10.09,10.09,10.05
10.05,10.05,10.05,10.05
10.10,10.10,10.10,10.05
10.10,10.05,10.10,10.05
10.05,10.20,10.58,10.05
10.70,10.50,10.70,10.40
10.55,10.87,10.98,10.16
10.85,10.46,10.85,10.46
10.06,10.21,10.50,10.02
10.25,10.31,10.31,10.25
10.31,10.31,10.31,10.31
10.13,10.15,10.15,10.13
10.16,10.30,10.31,10.16
10.30,10.41,10.49,10.30
10.30,10.14,10.30,10.14
10.49,10.25,10.49,10.22
10.39,10.25,10.40,10.25
10.25,10.25,10.25,10.25
10.25,10.02,10.25,9.95
10.23,10.04,10.23,10.04
10.05,9.87,10.05,9.71
9.87,9.87,9.87,9.87
9.87,9.79,9.87,9.79
9.82,9.82,9.82,9.82
9.27,9.79,9.79,9.27
9.80,9.65,9.80,9.50
9.26,9.60,9.60,9.26
9.43,9.56,10.00,9.43
9.54,9.62,9.62,9.54
9.43,9.40,9.59,9.40
9.40,9.40,9.40,9.40
9.50,9.50,9.50,9.31
9.50,9.50,9.50,9.50
9.55,9.66,9.79,9.48
9.82,9.55,9.82,9.55
9.74,9.80,9.84,9.74
9.78,10.00,10.05,9.78
9.90,10.02,10.02,9.90
10.00,10.00,10.00,9.90
9.99,10.00,10.00,9.90
10.00,10.00,10.00,10.00
9.93,10.00,10.00,9.92
9.95,10.00,10.00,9.95
9.95,9.77,9.95,9.76
9.84,9.77,9.99,9.77
9.80,9.99,9.99,9.80
9.99,9.99,9.99,9.77
9.95,9.71,9.95,9.71
9.75,9.67,9.75,9.56
9.65,9.65,9.65,9.64
9.65,9.65,9.65,9.65
9.74,9.74,9.74,9.74
9.76,9.80,9.99,9.75
9.87,9.65,9.87,9.65
9.75,9.82,9.82,9.48
9.82,9.82,9.82,9.82
9.49,9.48,9.49,9.48
9.20,9.50,9.50,9.20
9.51,9.30,9.51,9.30
9.30,9.30,9.30,9.30
9.28,9.76,9.76,9.28
9.73,9.21,9.73,9.11
9.03,9.05,9.08,9.03
9.29,9.01,9.29,9.01
9.00,8.79,9.00,8.68
8.73,9.07,9.13,8.73
9.07,9.08,9.29,8.76
9.09,9.14,9.24,9.09
8.83,9.14,9.14,8.83
9.16,9.13,9.16,9.13
9.13,9.13,9.13,9.13
9.24,9.15,9.25,9.15
9.12,9.12,9.12,9.12
9.01,8.92,9.19,8.77
9.15,8.99,9.16,8.79
8.99,8.99,8.99,8.99
9.13,9.07,9.20,9.05
8.90,8.81,8.90,8.81
8.85,8.85,8.85,8.85
9.09,9.00,9.09,8.84
9.00,9.00,9.00,9.00
8.87,9.20,9.20,8.87
9.20,9.20,9.20,9.20
9.00,8.74,9.00,8.74
8.71,8.70,8.71,8.70
8.78,8.30,8.78,8.18
8.30,8.30,8.30,8.30
8.25,8.31,8.39,8.25
8.41,8.94,8.94,7.76
8.85,8.62,8.85,8.51
8.73,8.97,9.00,8.19
8.94,8.70,8.94,8.07
8.06,8.19,8.40,8.05
8.19,8.19,8.19,8.19
8.10,8.19,8.19,8.10
8.12,8.12,8.12,8.12
8.25,8.25,8.25,8.25
8.25,8.25,8.25,8.25
8.25,8.25,8.25,8.25
8.25,8.25,8.25,8.25
8.25,8.25,8.25,8.25
8.25,8.25,8.25,8.25
8.25,8.25,8.25,8.25
8.35,9.00,9.00,8.35
8.97,8.91,9.00,8.91
8.56,8.56,8.56,8.56
8.78,8.88,9.00,8.75
8.88,8.88,8.88,8.88
8.88,8.88,8.88,8.88
8.44,8.44,8.44,8.44
8.44,8.44,8.44,8.44
8.79,8.79,8.79,8.79
8.79,8.79,8.79,8.79
8.53,8.53,8.53,8.53
8.53,8.53,8.53,8.53
8.13,8.50,8.50,8.13
8.50,8.50,8.50,8.50
8.14,8.25,8.30,8.14
8.35,8.39,8.39,8.35
8.39,8.39,8.39,8.39
8.49,8.49,8.49,8.49
8.72,8.74,8.74,8.72
8.74,8.74,8.74,8.74
8.50,8.20,8.50,8.11
8.20,8.20,8.20,8.20
8.20,8.20,8.20,8.20
8.20,8.20,8.20,8.20
8.47,8.20,8.50,8.20
8.20,8.20,8.20,8.20
8.20,8.20,8.20,8.20
8.20,7.45,8.20,7.45
7.45,7.45,7.45,7.45
7.80,7.80,7.80,7.78
8.00,8.00,8.00,8.00
7.95,7.95,7.95,7.95
7.95,7.95,7.95,7.95
7.95,7.95,7.95,7.95
7.98,8.00,8.05,7.98
