BTX,BioTime,NASDAQ
4.39,4.73,4.73,4.27
4.79,4.56,4.90,4.50
4.79,4.84,4.94,4.50
5.04,4.97,5.04,4.85
4.99,4.82,4.99,4.75
4.75,4.85,4.95,4.65
4.85,4.96,4.99,4.79
4.99,5.24,5.25,4.95
5.25,5.16,5.40,5.12
5.25,5.08,5.35,4.95
5.10,5.05,5.20,5.00
4.90,4.84,5.07,4.82
4.70,4.74,4.87,4.65
4.65,4.56,4.69,4.50
4.60,4.65,4.79,4.50
4.57,4.66,4.78,4.51
4.91,4.61,4.91,4.58
4.74,5.15,5.23,4.60
5.21,5.11,5.25,4.91
4.93,5.09,5.15,4.93
5.10,5.30,5.42,5.00
5.44,5.48,5.50,5.21
5.47,5.29,5.50,5.21
5.43,4.92,5.43,4.82
4.99,4.99,5.02,4.92
4.98,5.05,5.10,4.90
5.01,5.00,5.03,4.93
4.99,4.93,5.00,4.91
4.90,5.19,5.19,4.90
5.24,5.19,5.25,5.12
4.96,5.17,5.29,4.96
5.17,5.05,5.17,5.00
5.08,5.18,5.19,4.98
5.09,5.14,5.18,5.09
5.19,5.11,5.19,5.03
5.04,5.15,5.15,5.02
5.17,5.09,5.17,5.02
5.04,5.00,5.06,5.00
5.08,5.19,5.20,5.08
5.22,5.19,5.22,5.15
5.06,5.15,5.16,5.05
5.09,5.10,5.15,5.06
5.07,5.12,5.19,5.06
5.10,5.13,5.24,5.10
5.11,5.13,5.19,5.10
5.16,5.45,5.45,5.15
5.02,5.42,5.50,5.01
5.33,5.44,5.50,5.33
5.48,5.80,5.94,5.43
5.99,7.42,8.42,5.80
7.30,7.01,7.54,6.90
6.96,6.69,7.03,6.57
6.65,6.65,6.70,6.25
6.68,6.55,6.68,6.31
6.50,6.99,7.00,6.47
7.06,7.16,7.17,6.86
7.20,7.37,7.70,7.20
7.40,7.42,7.62,7.25
7.70,7.70,7.81,7.42
7.70,7.27,7.75,7.19
7.35,7.13,7.35,6.55
7.05,7.09,7.34,7.00
6.63,7.01,7.13,6.51
7.23,7.00,7.23,6.80
7.05,7.04,7.11,6.86
6.95,7.17,7.19,6.95
7.20,7.14,7.20,7.07
7.19,7.19,7.21,7.14
7.13,7.12,7.29,6.95
7.12,7.40,7.48,7.01
7.46,7.31,7.49,7.21
7.14,7.31,7.39,7.14
7.21,7.33,7.37,7.14
7.35,7.30,7.35,7.25
7.30,7.28,7.35,7.16
7.15,7.25,7.29,7.02
7.18,7.26,7.30,7.18
7.30,7.91,7.98,7.29
7.99,7.72,8.20,7.56
7.85,7.84,7.93,7.55
7.82,8.11,8.11,7.36
8.02,7.64,8.15,7.55
7.65,7.96,8.08,7.65
7.96,7.77,7.96,7.50
7.58,7.33,7.58,7.22
7.25,6.64,7.55,5.82
6.79,6.88,7.30,6.50
7.28,7.35,7.35,7.00
7.11,7.70,7.77,7.11
7.80,7.75,7.98,7.57
7.62,7.42,7.74,7.41
7.44,7.34,7.45,7.14
7.28,7.00,7.28,6.80
6.88,6.79,7.05,6.73
6.77,6.24,6.84,5.95
5.95,5.85,5.96,5.52
5.54,5.72,5.82,5.25
5.76,5.91,6.00,5.72
5.80,5.96,5.97,5.53
5.84,5.97,6.49,5.84
6.15,6.43,6.43,5.87
6.48,6.50,6.55,6.27
6.29,6.11,6.55,6.11
6.12,6.38,6.39,6.02
6.36,6.43,6.49,6.15
6.12,6.22,6.71,6.12
6.20,5.94,6.29,5.93
5.97,5.75,6.06,5.60
5.83,5.85,5.95,5.77
6.10,6.07,6.10,5.94
6.03,6.40,6.42,6.00
6.50,6.69,6.90,6.44
6.71,6.59,6.76,6.40
6.50,6.96,6.98,6.45
7.13,7.02,7.14,6.86
7.08,7.18,7.22,6.96
7.25,7.04,7.49,7.00
7.02,6.45,7.10,6.42
6.64,6.31,6.64,6.09
6.34,6.68,6.74,6.16
6.75,7.01,7.01,6.57
6.89,6.56,7.00,6.51
6.42,6.05,6.42,6.01
5.96,6.16,6.33,5.96
6.20,5.84,6.25,5.75
5.78,5.62,5.88,5.53
5.62,5.09,5.87,5.09
5.26,5.34,5.34,5.10
6.16,5.33,6.16,5.24
5.30,5.46,5.48,5.13
5.45,5.28,5.53,5.21
5.32,5.31,5.35,5.12
5.32,5.14,5.35,5.12
5.12,4.90,5.16,4.81
4.88,4.59,4.95,4.53
4.57,4.81,4.82,4.44
4.76,5.06,5.06,4.76
5.10,5.01,5.16,4.91
5.27,5.24,5.29,4.98
5.35,5.57,5.57,5.35
5.75,6.09,6.10,5.60
6.34,6.05,6.50,6.01
6.05,5.70,6.18,5.69
5.70,5.63,5.78,5.52
5.46,5.65,5.68,5.39
5.80,5.78,5.80,5.69
5.77,5.77,5.87,5.77
5.84,5.99,6.00,5.74
5.97,5.91,6.00,5.85
5.92,5.51,5.98,5.50
5.74,5.67,5.84,5.55
5.62,5.45,5.62,5.43
5.39,5.21,5.43,5.20
5.21,5.30,5.39,5.21
5.40,5.25,5.46,5.25
5.27,5.31,5.32,5.23
5.40,5.36,5.56,5.30
5.79,5.43,5.79,5.40
5.40,5.03,5.64,5.02
5.10,5.01,5.18,5.00
5.16,4.81,5.16,4.78
4.75,4.42,4.78,4.41
4.44,4.47,4.50,4.02
4.42,4.43,4.57,4.35
4.48,4.59,4.59,4.20
4.61,4.19,4.61,4.13
4.24,4.19,4.43,4.16
4.21,4.41,4.41,4.20
4.58,4.49,4.59,4.38
4.54,4.53,4.54,4.33
4.69,4.34,4.69,4.28
4.36,4.60,4.64,4.36
4.67,4.52,4.68,4.51
4.55,4.63,4.68,4.54
4.59,4.90,4.97,4.59
4.93,4.69,4.93,4.66
4.72,4.65,4.75,4.56
4.68,4.62,4.72,4.57
4.62,4.63,4.79,4.62
4.70,4.94,4.94,4.66
4.94,4.86,4.95,4.80
4.80,4.76,4.86,4.69
4.80,4.96,4.98,4.72
5.05,4.90,5.05,4.69
4.95,5.05,5.19,4.87
5.10,5.20,5.20,4.99
5.20,5.10,5.20,5.05
5.15,4.75,5.15,4.72
4.83,5.10,5.10,4.73
5.03,4.83,5.05,4.80
4.94,5.10,5.10,4.86
5.19,5.09,5.19,5.09
5.15,5.10,5.20,5.06
5.12,5.19,5.20,5.04
5.47,5.44,5.47,5.11
5.45,5.69,5.69,5.25
5.75,5.86,5.87,5.63
5.85,5.84,6.00,5.76
6.41,5.70,6.41,5.59
5.66,5.79,5.94,5.66
5.89,5.89,5.90,5.70
5.98,6.05,6.09,5.90
6.10,6.26,6.26,6.02
6.32,6.36,6.37,6.15
6.50,6.43,6.55,6.40
6.40,5.70,6.40,5.38
5.83,5.73,5.85,5.40
5.80,6.01,6.08,5.72
6.05,6.00,6.08,5.75
6.13,5.77,6.13,5.75
5.76,5.69,5.77,5.55
5.75,6.04,6.20,5.75
6.35,6.23,6.35,6.15
6.37,6.05,6.37,6.00
6.05,6.28,6.30,6.05
6.40,6.29,6.40,6.22
6.29,6.14,6.38,6.06
6.50,6.87,7.09,6.33
7.10,6.82,7.10,6.75
6.85,6.91,7.00,6.68
6.90,7.29,7.43,6.63
7.30,7.23,7.30,7.07
7.40,7.50,7.50,7.24
7.50,7.40,7.50,7.00
7.33,7.72,7.72,7.33
7.80,7.73,7.95,7.50
7.95,7.91,7.99,7.73
7.99,7.84,7.99,7.77
7.80,7.87,7.89,7.62
7.86,8.00,8.00,7.68
8.05,8.23,8.49,8.05
8.13,8.10,8.39,8.00
8.18,7.63,8.18,7.40
7.53,7.98,8.04,7.51
8.05,8.04,8.24,7.98
8.19,7.93,8.19,7.78
8.02,8.08,8.13,7.89
8.10,8.05,8.10,7.79
7.58,8.19,8.20,7.58
8.25,8.48,8.59,8.25
8.58,8.58,8.91,8.50
8.58,8.80,8.86,8.53
8.82,9.06,9.06,8.67
9.47,9.39,9.47,9.00
9.42,9.42,9.62,9.25
9.48,9.48,9.55,9.27
9.48,9.51,9.62,9.38
9.33,9.69,9.75,9.30
9.94,9.48,9.94,9.43
9.40,8.58,9.40,8.00
8.55,8.43,8.55,8.18
8.24,8.33,8.45,8.23
8.46,8.92,9.09,8.36
9.36,9.13,9.36,8.10
9.37,9.50,9.53,9.15
8.60,8.62,9.20,8.35
8.61,8.37,8.80,8.15
8.41,8.71,8.72,8.38
8.90,8.99,8.99,8.62
9.04,9.06,9.09,8.89
9.10,9.02,9.10,8.90
9.03,8.86,9.08,8.80
8.95,9.05,9.05,8.82
9.09,8.25,9.10,8.24
8.49,8.29,8.58,8.15
8.39,8.21,8.44,8.15
8.19,8.11,8.21,8.01
8.10,7.83,8.10,7.66
7.90,8.23,8.25,7.90
8.20,8.13,8.41,8.10
8.37,7.51,8.39,7.51
8.42,7.83,8.42,7.51
8.00,8.07,8.11,7.80
8.29,7.94,8.29,7.91
8.10,7.87,8.10,7.73
7.79,7.77,7.95,7.75
7.77,7.77,7.85,7.70
7.75,7.84,7.86,7.50
7.80,7.90,7.98,7.75
7.95,7.58,7.95,7.52
7.55,7.62,7.88,7.45
7.51,7.61,7.86,7.51
7.61,7.26,7.63,7.12
7.23,7.20,7.54,7.06
7.26,7.38,7.39,7.19
7.38,7.32,7.47,7.25
7.23,6.95,7.32,6.91
6.92,6.53,7.00,6.08
6.24,6.70,6.73,6.11
6.75,7.01,7.05,6.67
7.05,6.89,7.30,6.89
6.92,6.81,7.18,6.69
7.50,7.75,7.90,7.26
7.95,8.06,8.13,7.89
8.05,7.84,8.10,7.82
8.01,7.56,8.07,7.25
7.81,7.80,7.90,7.46
7.80,7.76,8.00,7.68
7.70,7.77,7.91,7.52
7.61,8.11,8.21,7.61
8.11,7.93,8.19,7.75
7.80,7.87,7.89,7.60
7.80,7.56,7.92,7.51
7.62,7.34,7.72,7.30
7.58,7.47,7.58,7.27
7.65,7.56,7.86,7.43
7.60,7.46,7.61,7.42
7.45,7.34,7.59,7.31
7.38,7.44,7.47,7.21
7.45,7.54,7.64,7.37
7.56,7.54,7.61,7.50
7.76,7.53,7.76,7.49
7.59,7.42,7.59,7.37
7.50,7.45,7.70,7.22
7.51,7.57,7.65,7.40
7.54,7.55,7.62,7.50
7.58,7.54,7.65,7.51
7.56,7.73,7.86,7.55
7.73,7.64,7.75,7.58
7.64,7.27,7.72,7.21
7.63,7.24,7.63,7.21
