ROLL,RBC Bearings Incorporated - Common Stock,NASDAQ
24.70,24.95,25.09,24.46
24.95,24.88,25.08,24.61
24.91,25.55,25.74,24.90
25.60,25.36,25.67,25.05
25.39,25.53,25.63,25.27
25.63,25.47,25.68,25.23
25.20,25.43,25.53,25.12
25.50,25.91,25.97,25.44
25.74,25.55,26.12,25.23
25.68,25.22,25.68,24.57
25.34,25.76,26.04,25.34
25.51,25.14,25.72,24.79
25.25,24.28,25.34,24.16
24.30,23.82,24.49,23.77
23.96,23.29,23.96,23.19
23.14,22.69,23.25,22.67
22.55,22.80,23.12,22.35
22.89,22.48,23.02,22.23
22.54,23.24,24.00,22.20
23.27,24.21,24.33,23.14
24.15,24.72,25.22,24.00
24.55,24.81,25.13,24.55
24.72,24.25,24.85,24.02
24.24,24.40,24.67,23.44
24.45,24.00,25.01,23.97
24.22,24.67,24.82,24.22
24.49,24.54,24.86,24.09
24.39,24.69,24.87,24.25
24.36,24.92,25.01,24.35
25.06,25.57,25.60,24.82
25.60,25.72,25.99,25.52
25.48,26.11,26.18,25.48
26.11,26.19,26.26,25.80
26.22,26.14,26.40,25.96
26.05,25.87,26.21,25.70
25.98,25.84,26.13,25.73
25.42,25.81,25.85,25.04
25.75,25.33,25.75,25.24
25.52,26.28,26.42,25.41
26.28,26.42,26.67,26.00
26.55,26.71,27.13,26.40
26.77,26.24,27.02,25.84
26.39,27.27,27.34,26.09
27.18,27.51,27.60,27.11
27.30,28.00,28.28,27.24
28.09,28.00,28.36,27.83
27.80,27.46,27.95,27.10
27.75,27.44,27.75,27.22
27.48,27.82,28.11,27.42
27.59,27.81,27.99,27.58
27.79,27.81,28.00,27.76
27.85,27.79,28.00,27.61
27.57,27.57,28.31,27.25
27.43,27.80,28.00,27.34
27.58,28.31,28.54,27.58
28.16,29.06,29.06,28.16
29.10,30.20,30.35,28.73
30.22,30.57,30.60,30.03
29.81,31.05,31.17,29.16
31.15,31.74,32.08,30.98
31.47,31.87,32.22,31.42
32.15,31.73,32.27,31.43
31.99,32.13,32.47,31.75
32.06,32.31,32.55,32.02
32.25,32.42,32.59,32.20
32.21,32.09,32.45,31.99
32.12,32.31,32.38,31.99
32.42,32.59,33.03,32.32
32.59,32.69,32.90,32.34
32.85,33.47,33.47,32.72
33.34,33.73,34.04,33.24
33.77,33.36,33.85,32.87
33.32,33.12,33.40,32.55
33.17,33.50,33.83,33.14
33.60,33.29,33.60,33.12
32.95,33.04,33.12,32.71
32.91,32.91,33.05,32.58
32.75,32.44,33.06,32.39
32.30,31.66,32.46,31.57
31.77,31.78,31.92,31.33
31.96,32.39,32.39,31.84
32.41,31.56,32.44,31.50
31.68,32.23,32.37,31.43
31.78,31.11,31.79,30.96
30.90,30.07,30.92,29.92
29.92,29.00,30.27,28.50
28.98,28.54,29.09,27.83
29.76,29.97,30.17,29.36
29.66,31.12,31.80,27.75
31.19,33.25,33.27,31.19
33.05,33.03,33.82,32.78
32.69,31.78,32.69,31.34
31.85,31.38,32.10,31.05
31.72,30.66,32.07,30.44
30.48,29.51,30.81,29.31
28.69,27.23,29.00,27.20
27.00,27.67,27.69,26.85
27.51,26.87,27.54,26.79
26.57,26.64,26.82,25.61
26.77,26.96,27.39,26.68
27.65,28.40,28.65,26.32
28.32,28.00,28.54,27.63
27.80,27.64,28.24,27.41
27.90,29.38,30.00,27.54
29.25,29.56,30.44,28.90
28.70,27.89,29.00,27.65
27.96,27.78,28.37,27.58
27.83,27.53,28.29,26.93
27.89,27.76,28.35,27.41
28.32,29.28,29.33,28.32
28.82,29.21,29.57,28.73
29.60,29.85,30.44,29.32
30.19,30.50,30.59,29.42
30.19,30.83,31.11,30.19
30.83,31.21,31.29,30.22
31.43,30.97,31.43,30.60
31.44,30.32,31.50,30.01
30.53,29.38,30.75,29.30
29.37,29.85,30.01,28.98
29.67,29.62,30.49,29.57
29.83,30.23,30.55,29.44
30.24,30.67,31.57,30.24
30.32,29.19,30.32,28.81
29.11,28.99,30.33,28.86
29.00,28.61,29.28,28.19
28.89,27.68,28.89,27.68
28.04,27.78,28.49,27.46
27.98,28.79,28.81,27.73
29.03,29.51,29.76,28.80
29.50,29.45,29.62,28.97
29.42,28.60,29.54,28.44
29.12,29.70,29.80,29.12
29.48,29.47,29.67,29.07
29.42,28.94,29.42,28.65
28.62,27.30,28.71,27.26
27.48,27.29,27.62,26.79
26.87,28.03,28.09,26.53
28.32,27.70,28.62,27.69
28.20,29.40,29.47,28.11
29.17,30.22,30.34,28.94
30.41,31.51,31.56,30.07
31.86,31.39,32.42,31.32
31.23,30.68,31.38,30.55
31.06,30.83,31.24,30.26
30.35,30.67,31.15,30.29
31.12,31.51,31.69,30.84
31.37,31.70,32.22,30.79
31.98,32.30,32.43,31.74
32.12,34.12,34.48,31.68
33.52,32.99,34.28,32.20
33.28,34.13,34.21,32.97
33.59,32.44,33.60,32.12
31.87,31.21,32.44,31.08
30.95,30.98,31.15,30.53
30.77,30.46,31.00,30.06
30.20,31.03,31.32,30.10
31.43,33.17,33.45,31.38
33.22,33.42,34.03,32.80
33.18,31.00,33.18,30.98
30.95,30.85,31.12,30.44
31.11,29.60,31.11,29.57
29.05,29.09,29.48,28.70
28.90,29.89,29.99,28.55
29.93,28.40,29.93,28.38
28.85,29.96,30.05,28.61
29.73,29.34,29.95,29.29
29.23,29.29,29.63,28.96
29.86,30.93,31.11,29.34
30.74,31.16,31.29,30.42
31.53,31.83,31.94,30.94
31.78,31.40,31.87,31.20
31.41,31.57,32.00,31.38
32.00,31.59,32.00,31.04
31.59,31.92,32.11,31.54
32.37,32.89,33.14,31.99
32.85,32.65,33.01,32.54
32.40,32.76,32.98,32.40
32.60,32.23,32.77,31.36
32.70,32.24,32.88,31.75
32.29,33.51,33.52,32.29
33.35,33.84,34.26,32.85
33.59,33.78,34.19,33.28
33.41,33.38,34.49,33.04
33.97,34.10,34.50,33.63
34.21,33.62,34.54,33.42
33.81,34.00,34.19,32.97
33.74,34.00,34.03,33.59
34.10,33.98,34.60,33.48
34.00,34.03,34.31,33.33
34.00,32.74,34.00,32.63
33.24,34.31,34.45,33.11
34.31,34.45,34.74,33.99
34.81,34.17,34.81,33.96
34.28,34.90,35.00,34.02
34.76,34.89,35.30,34.72
34.75,34.67,34.91,34.25
34.78,35.17,35.34,34.42
35.23,35.33,35.73,35.04
35.82,34.74,35.91,34.48
34.94,35.00,35.00,34.54
34.30,34.11,35.00,33.82
34.43,34.49,35.00,34.39
34.58,34.03,35.00,33.45
34.10,34.07,34.29,33.67
34.26,34.41,34.92,34.26
34.08,34.00,34.31,33.76
33.72,33.50,33.72,32.97
33.91,33.57,34.00,33.31
33.53,33.32,33.53,33.25
32.96,32.66,34.18,32.39
33.00,33.79,33.95,33.00
33.78,33.85,33.89,33.42
34.60,35.84,35.99,34.60
35.84,35.47,36.50,35.14
35.21,36.08,36.25,35.12
36.16,35.31,36.25,35.09
35.47,35.78,36.13,34.91
35.32,35.04,35.59,35.00
34.82,34.84,35.19,34.56
35.00,34.81,35.32,34.74
34.40,34.94,35.04,34.06
35.00,34.94,35.01,34.56
35.50,35.85,36.24,35.37
35.85,36.18,36.50,35.07
36.00,36.34,36.49,35.55
35.97,36.04,36.19,35.30
36.14,37.42,37.48,36.14
37.32,36.95,37.32,36.85
36.59,36.85,36.95,36.00
36.37,36.89,36.90,36.31
37.65,37.18,38.60,36.98
37.18,37.44,37.53,36.97
37.08,37.38,37.48,36.87
37.22,37.44,37.60,37.12
38.00,38.20,38.96,37.71
38.39,37.47,38.46,37.28
37.97,37.04,37.97,36.53
37.03,37.29,37.52,36.42
37.34,36.93,37.58,36.93
37.20,37.06,37.20,36.90
36.95,36.96,37.61,36.73
36.96,37.58,37.67,36.59
37.66,37.63,37.99,37.19
37.92,37.50,37.93,37.12
37.80,38.31,38.76,37.80
37.78,38.35,38.84,37.78
38.49,38.67,39.13,38.49
37.72,39.19,39.40,37.70
39.25,38.69,39.36,38.49
38.90,38.88,39.12,38.77
38.84,38.31,39.04,38.27
38.31,39.08,39.37,38.00
39.63,39.20,40.00,39.06
39.45,38.24,39.45,37.49
38.17,38.71,38.94,38.00
38.62,38.00,38.62,37.51
38.19,37.94,38.19,37.25
37.66,37.97,38.01,37.56
38.09,37.88,38.11,37.21
38.35,38.39,38.51,38.08
38.39,37.96,38.40,37.46
37.85,38.44,38.44,37.50
38.17,38.50,38.58,37.75
38.38,37.52,38.65,37.11
37.22,36.75,37.53,36.36
37.11,35.89,37.21,35.35
35.83,35.88,36.31,35.62
35.58,36.27,36.27,35.29
36.30,37.00,37.18,36.20
36.99,36.80,37.00,36.01
36.69,34.69,36.69,34.36
34.97,34.77,35.21,34.00
34.97,36.86,36.92,34.54
37.49,38.01,38.70,37.19
38.25,38.38,38.94,37.53
38.22,37.45,38.22,37.37
37.38,37.53,38.12,37.38
37.41,38.14,38.15,37.05
37.85,38.58,38.81,37.74
37.75,36.59,38.22,35.58
36.27,37.06,37.12,36.03
36.91,37.26,37.28,36.79
36.96,37.10,37.39,36.76
37.41,37.20,37.48,36.89
37.20,37.28,37.45,36.99
37.48,37.72,38.33,37.27
37.23,37.00,37.99,36.63
37.13,35.58,37.30,35.48
35.79,36.27,36.73,35.62
36.29,36.44,36.64,35.95
36.52,36.19,37.38,35.92
36.24,36.25,36.78,35.67
36.18,36.49,36.73,35.91
36.92,37.48,37.71,36.92
37.41,37.03,37.61,36.60
37.15,36.26,37.55,35.37
36.36,37.07,37.69,35.76
37.06,36.46,37.41,36.30
35.95,34.67,35.95,34.30
34.70,35.62,35.73,34.70
35.02,35.25,36.01,34.82
34.14,34.52,35.27,34.14
34.42,33.23,34.50,32.98
33.97,33.48,33.97,33.32
33.75,34.01,34.04,33.25
34.32,34.81,34.92,34.31
34.67,35.20,35.21,33.96
35.30,35.38,35.64,34.55
35.68,36.63,36.77,35.12
36.93,37.02,37.46,36.32
37.02,36.67,37.49,36.56
36.67,37.29,37.32,36.40
37.27,37.80,37.92,36.97
37.76,38.23,38.49,37.76
38.54,38.86,39.29,37.69
39.12,39.36,39.85,39.12
39.14,39.66,40.26,38.92
40.16,39.83,40.34,39.76
39.79,38.92,39.88,38.81
39.20,37.55,39.20,37.40
37.66,37.17,37.68,36.91
36.68,36.82,37.59,36.58
37.26,36.07,37.35,36.04
35.77,35.02,36.07,34.92
34.84,35.24,35.39,34.84
35.09,34.34,35.09,33.94
34.56,33.92,34.92,33.78
34.50,35.01,35.02,34.23
35.00,35.09,35.20,34.66
34.91,35.21,35.70,34.77
35.44,36.50,36.78,35.22
36.61,37.53,37.59,36.31
37.44,38.25,38.45,37.44
38.43,39.26,39.56,38.35
39.07,39.21,39.40,38.84
39.19,39.09,39.65,39.04
39.15,37.33,39.27,37.33
37.09,37.39,37.98,37.09
38.08,37.78,38.30,37.62
37.83,37.93,38.19,37.50
38.15,38.48,38.50,37.68
38.28,37.41,38.28,37.09
37.40,38.24,38.58,37.03
38.30,37.51,38.30,37.25
37.24,37.45,37.68,37.20
37.35,37.34,37.81,37.16
37.43,37.49,37.79,37.29
37.88,37.75,38.09,37.45
37.46,37.45,37.89,37.22
36.64,36.55,36.85,36.37
36.75,36.82,36.98,36.35
36.67,37.60,38.10,36.53
39.77,39.98,40.78,37.23
40.28,40.10,40.75,40.00
40.52,40.00,40.52,39.46
39.82,38.70,40.20,38.55
38.74,39.16,39.53,38.74
38.33,38.97,39.15,37.21
39.08,38.62,39.24,38.41
39.00,38.66,39.00,38.65
38.44,38.59,38.99,38.34
38.71,38.69,39.10,38.40
38.33,38.06,38.79,37.95
38.29,37.85,38.56,37.82
38.38,38.03,38.57,37.85
37.56,37.53,38.46,37.21
37.51,37.79,38.26,37.21
37.99,37.84,38.77,37.66
37.68,38.02,38.46,37.68
38.38,38.57,38.80,38.07
38.20,38.21,38.65,37.96
37.78,37.93,37.96,36.66
37.99,37.21,38.03,37.10
37.28,37.56,37.79,36.73
37.67,37.92,38.22,37.60
38.19,37.88,38.19,37.62
37.87,37.76,37.95,37.60
