GTWN,Georgetown Bancorp,NASDAQ
4.70,4.70,4.70,4.70
4.70,4.70,4.70,4.70
4.70,4.70,4.70,4.70
4.70,4.70,4.70,4.70
4.65,5.25,5.25,4.60
5.25,5.25,5.25,5.25
5.25,5.25,5.25,5.25
5.25,5.25,5.25,5.25
5.25,5.25,5.25,5.25
5.25,5.25,5.25,5.25
4.66,4.66,4.66,4.66
4.66,4.66,4.66,4.66
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
4.66,5.00,5.00,4.66
5.01,5.01,5.01,5.01
5.01,5.01,5.01,5.01
5.01,5.01,5.01,5.01
5.15,4.67,5.15,4.67
4.67,4.67,4.67,4.67
5.20,5.20,5.20,5.20
5.20,5.20,5.20,5.20
5.20,5.20,5.20,5.20
5.20,5.20,5.20,5.20
5.20,5.20,5.20,5.20
5.20,5.20,5.20,5.20
5.20,5.20,5.20,5.20
5.20,5.20,5.20,5.20
4.85,4.85,4.85,4.85
4.85,4.85,4.85,4.85
5.20,5.20,5.20,5.20
5.00,4.67,5.00,4.67
4.60,4.60,4.60,4.60
4.60,4.60,4.60,4.60
4.60,4.60,4.60,4.60
4.60,4.60,4.60,4.60
4.60,4.60,4.60,4.60
4.60,4.60,4.60,4.60
4.60,4.60,4.60,4.60
4.60,4.60,4.60,4.60
4.75,4.65,4.75,4.65
4.65,4.65,4.65,4.65
4.65,4.65,4.65,4.65
4.65,4.65,4.65,4.65
4.65,4.65,4.65,4.65
4.65,4.65,4.65,4.65
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.20,5.20,5.20,5.20
5.05,5.00,5.05,5.00
5.00,5.00,5.00,5.00
5.25,5.25,5.25,5.25
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.25,5.25,5.25,5.25
5.25,5.25,5.25,5.25
5.25,5.25,5.25,5.25
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,4.85,5.00,4.85
4.85,4.85,4.85,4.85
4.85,4.85,4.85,4.85
4.85,5.00,5.00,4.75
5.00,4.75,5.00,4.75
5.15,5.15,5.15,5.15
5.25,5.25,5.25,5.25
5.25,5.25,5.25,5.25
5.25,5.25,5.25,5.25
5.25,5.00,5.25,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.20,5.20,5.20,5.20
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
4.99,4.99,4.99,4.99
5.00,4.90,5.00,4.90
4.90,4.90,4.90,4.90
4.90,4.90,4.90,4.90
4.90,4.90,4.90,4.90
4.90,4.90,4.90,4.90
4.85,4.85,4.85,4.85
4.85,4.85,4.85,4.85
4.85,4.85,4.85,4.85
4.85,4.85,4.85,4.85
4.85,4.85,4.85,4.85
4.85,4.85,4.85,4.85
4.85,4.85,4.85,4.85
4.85,4.85,4.85,4.85
4.85,4.85,4.85,4.85
4.85,4.85,4.85,4.85
4.85,4.85,4.85,4.85
4.85,4.85,4.85,4.85
4.85,4.85,4.85,4.85
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
4.85,4.85,4.85,4.85
4.85,4.85,4.85,4.85
4.85,4.85,4.85,4.85
4.85,4.85,4.85,4.85
4.85,4.85,4.85,4.85
4.85,4.85,4.85,4.85
4.85,4.85,4.85,4.85
4.80,4.78,4.80,4.78
4.78,4.78,4.78,4.78
4.78,5.00,5.00,4.78
5.25,4.78,5.25,4.78
4.78,4.78,4.78,4.78
4.78,4.78,4.78,4.78
4.78,4.78,4.78,4.78
4.78,4.78,4.78,4.78
4.78,4.78,4.78,4.78
5.00,5.00,5.00,5.00
4.99,5.00,5.00,4.99
4.85,4.85,4.85,4.85
4.80,4.80,4.80,4.80
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
4.85,4.81,5.00,4.70
4.81,4.81,4.81,4.81
5.00,5.00,5.00,5.00
4.90,4.90,4.90,4.90
5.00,5.00,5.00,5.00
5.25,5.00,5.25,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.25,5.25,5.25,5.25
5.25,5.25,5.25,5.25
5.25,5.25,5.25,5.25
5.25,5.25,5.25,5.25
5.25,5.25,5.25,5.25
5.25,5.25,5.25,5.25
5.25,5.25,5.25,5.25
5.25,5.25,5.25,5.25
5.25,5.25,5.25,5.25
5.25,5.25,5.25,5.25
5.25,5.25,5.25,5.25
5.25,5.25,5.25,5.25
5.25,5.25,5.25,5.25
5.25,5.25,5.25,5.25
5.25,5.25,5.25,5.25
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.25,5.25,5.25,5.25
5.25,5.25,5.25,5.25
5.65,5.65,5.65,5.65
5.65,5.65,5.65,5.65
5.65,5.65,5.65,5.65
5.65,5.65,5.65,5.65
5.00,4.80,5.00,4.80
4.80,4.80,4.80,4.80
4.80,4.80,4.80,4.80
4.80,4.80,4.80,4.80
4.80,4.80,4.80,4.80
4.80,4.80,4.80,4.80
4.80,4.80,4.80,4.80
5.65,5.65,5.65,5.65
5.60,5.60,5.60,5.60
5.60,5.60,5.60,5.60
5.60,5.60,5.60,5.60
5.60,5.60,5.60,5.60
5.60,5.60,5.60,5.60
5.60,5.60,5.60,5.60
5.50,5.50,5.50,5.50
