MHH,Mastech Digital,NASDAQ
4.75,4.70,4.75,4.70
4.70,4.75,4.75,4.70
4.70,4.79,4.79,4.70
4.79,4.86,4.86,4.79
4.80,4.81,4.81,4.80
4.81,4.81,4.81,4.81
4.81,4.81,4.81,4.81
4.88,4.88,4.88,4.88
4.88,4.88,4.88,4.88
4.85,4.85,4.86,4.85
4.81,4.45,4.81,4.45
4.41,4.60,4.60,4.41
4.63,4.63,4.64,4.55
4.63,4.63,4.63,4.63
4.63,4.75,4.76,4.63
4.84,4.85,4.94,4.84
4.85,4.75,4.85,4.75
4.84,4.85,4.85,4.67
4.85,4.84,4.85,4.84
4.75,4.70,4.75,4.70
4.75,4.75,4.75,4.75
4.73,4.60,4.73,4.50
4.56,4.56,4.69,4.50
4.50,4.65,4.66,4.50
4.65,4.65,4.65,4.65
4.65,4.26,4.65,4.25
4.32,3.99,4.32,3.85
4.05,4.06,4.11,4.02
4.00,4.01,4.03,4.00
4.01,4.00,4.01,4.00
4.01,3.85,4.01,3.81
3.83,4.01,4.05,3.80
4.07,3.82,4.07,3.81
3.82,3.87,3.87,3.82
4.06,4.26,4.26,4.06
4.05,4.25,4.25,4.05
4.25,4.25,4.25,4.25
4.05,4.40,4.40,4.05
4.40,4.17,4.40,4.17
4.36,4.39,4.45,4.27
4.39,4.39,4.39,4.39
4.39,4.39,4.39,4.39
4.25,4.25,4.25,4.25
4.25,4.20,4.25,4.20
4.20,4.25,4.25,4.20
4.25,4.28,4.28,4.25
4.28,4.28,4.28,4.28
4.38,4.45,4.45,4.38
4.32,4.45,4.45,4.32
4.45,4.49,4.49,4.45
4.32,4.45,4.50,4.30
4.36,4.38,4.38,4.35
4.50,4.50,4.50,4.38
4.45,4.45,4.45,4.45
4.50,4.50,4.52,4.50
4.48,4.35,4.48,4.35
4.35,4.35,4.35,4.35
4.53,4.53,4.53,4.53
4.25,4.55,4.55,4.24
4.48,4.30,4.48,4.26
4.36,4.36,4.36,4.36
4.35,4.40,4.44,4.35
4.43,4.39,4.44,4.39
4.42,4.35,4.42,4.35
4.35,4.35,4.35,4.35
4.36,4.50,4.50,4.36
4.36,4.36,4.36,4.36
4.36,4.50,4.50,4.35
4.45,4.45,4.45,4.45
4.45,4.45,4.45,4.45
4.45,4.45,4.45,4.45
4.45,4.40,4.47,4.40
4.31,4.35,4.35,4.30
4.35,4.45,4.46,4.35
4.43,4.45,4.45,4.43
4.45,4.41,4.45,4.41
4.45,4.40,4.47,4.40
4.35,4.35,4.50,4.35
4.32,4.32,4.32,4.32
4.31,4.34,4.36,4.30
4.25,4.25,4.35,4.00
4.25,4.25,4.25,4.25
4.05,4.15,4.23,4.05
4.00,4.05,4.15,4.00
4.11,3.85,4.11,3.85
3.89,3.90,3.90,3.84
