HSNI,HSN,NASDAQ
20.31,20.62,21.15,20.24
20.54,20.02,20.66,19.67
20.06,20.01,20.16,19.66
20.06,20.40,20.74,19.77
20.30,20.97,21.21,20.20
20.99,20.56,20.99,19.83
20.38,20.09,20.67,19.46
20.21,20.11,20.21,19.61
20.00,19.71,20.22,19.55
19.86,19.93,19.97,19.55
19.87,19.76,20.00,19.63
19.55,19.36,19.85,19.23
19.44,18.92,19.54,18.61
18.96,18.62,19.55,18.31
18.80,18.73,19.00,18.09
18.62,18.83,19.23,17.93
18.68,19.29,19.50,18.68
19.26,18.59,19.43,18.30
18.65,19.14,19.47,18.55
19.15,19.27,19.40,19.07
19.23,19.57,19.69,19.09
19.50,19.26,19.58,18.94
19.09,19.05,19.39,18.87
19.03,18.86,19.24,18.19
18.90,18.09,18.90,18.05
18.31,19.06,19.14,18.14
18.90,18.49,18.95,18.03
18.39,19.87,19.92,18.01
19.62,19.57,19.69,19.01
19.75,19.53,19.91,19.24
19.51,19.51,20.05,19.05
19.46,19.85,19.90,19.26
19.86,20.90,21.06,19.34
20.90,20.88,20.90,20.42
20.75,19.99,20.75,19.46
20.14,20.46,20.49,19.79
20.16,21.94,22.09,19.81
22.02,21.66,22.19,21.33
21.82,22.76,23.31,21.65
22.74,22.70,23.35,22.48
24.57,24.73,27.34,24.57
24.81,26.78,27.55,23.43
26.70,27.90,27.93,25.82
27.92,28.59,28.80,27.61
28.33,28.09,28.94,27.58
28.01,28.84,29.39,27.89
28.62,29.21,29.56,28.08
29.40,29.53,29.68,28.26
29.57,29.40,29.57,28.52
29.49,29.15,29.82,28.77
29.09,29.64,30.39,29.09
29.51,29.49,30.00,29.22
29.34,29.34,30.07,28.56
29.23,29.00,29.30,28.25
28.98,30.35,30.41,28.81
30.34,29.81,30.36,29.75
29.84,29.95,30.80,29.71
30.00,30.49,30.79,30.00
30.42,30.85,30.93,30.35
30.77,30.00,30.99,29.94
29.83,29.44,30.56,29.43
29.57,29.90,29.90,28.89
30.08,30.55,30.57,29.94
30.50,30.95,30.97,30.15
30.93,30.49,31.79,30.32
30.31,31.06,31.30,29.30
30.82,30.39,31.09,29.76
30.29,30.70,30.99,30.12
30.74,31.36,31.59,30.68
31.50,33.11,33.11,31.46
33.02,32.98,33.30,32.60
33.01,31.59,33.01,31.24
31.58,30.81,31.99,30.23
31.10,32.10,32.11,30.40
32.03,32.59,32.70,30.97
32.19,33.68,33.93,32.06
33.80,33.14,34.10,32.46
33.20,32.99,34.66,32.87
32.82,31.04,32.82,30.79
31.12,31.77,32.48,30.90
31.98,32.72,32.94,31.82
32.63,30.12,32.76,30.02
30.13,31.54,31.69,29.85
30.65,30.76,30.83,29.69
32.39,31.96,34.16,31.41
31.85,29.42,31.85,26.79
29.50,26.45,29.99,26.35
28.32,27.78,28.93,26.99
27.44,27.20,27.96,26.61
27.54,28.06,28.19,27.00
28.00,27.84,28.67,27.45
27.63,26.44,27.73,25.95
26.51,26.55,27.12,24.96
26.86,25.80,27.99,25.59
25.60,25.78,26.17,24.57
24.88,24.68,25.53,24.27
24.11,25.80,26.50,23.75
25.71,26.00,26.60,25.43
25.02,26.43,26.54,24.38
26.63,25.73,27.86,25.46
26.65,27.82,27.95,26.56
27.81,26.95,27.81,26.44
26.81,25.21,27.12,25.21
25.50,26.31,26.46,25.09
26.19,26.20,27.48,25.42
25.12,24.62,25.55,24.19
24.65,23.07,24.89,23.02
23.16,23.58,23.78,22.03
23.85,23.59,25.20,23.36
24.13,24.86,25.00,23.70
24.46,26.24,26.44,24.12
26.59,25.02,27.00,24.95
25.31,26.05,26.24,24.66
25.86,25.36,26.00,25.05
25.40,25.74,25.94,24.94
25.94,24.90,25.94,24.02
25.38,25.01,26.79,24.71
25.21,24.61,26.59,24.31
24.65,24.57,25.24,23.59
24.26,24.40,24.88,23.02
24.53,25.39,25.49,23.86
25.33,25.36,26.07,24.85
24.76,23.32,24.83,23.00
23.37,24.00,24.06,22.97
24.00,25.56,26.42,23.40
25.75,25.62,26.17,25.24
26.29,25.69,27.37,25.44
25.73,26.39,26.68,25.35
26.80,26.64,27.12,25.92
26.66,27.04,27.25,26.15
26.87,26.76,27.24,25.85
27.22,27.72,27.87,26.49
27.65,28.38,28.90,27.25
28.34,28.67,28.86,27.35
28.37,27.49,28.37,27.31
27.69,27.29,27.69,26.74
26.79,28.17,28.22,26.75
28.50,27.45,28.99,27.33
28.11,28.33,28.91,28.11
28.20,29.08,29.47,27.76
29.27,29.86,29.97,28.44
30.25,29.09,30.25,28.43
28.97,28.79,29.21,28.42
29.02,28.60,29.63,27.58
28.02,29.40,29.47,27.80
29.86,29.57,29.99,28.97
29.32,28.88,29.42,28.01
28.94,28.91,29.71,28.25
28.52,28.36,29.08,27.53
27.94,28.45,28.58,27.37
28.85,28.27,28.87,27.95
27.81,27.50,27.94,27.11
26.73,26.75,27.02,26.35
26.04,27.14,27.23,25.81
26.94,26.58,27.26,26.37
26.40,27.30,27.36,26.40
27.50,27.75,28.69,27.18
27.57,28.40,28.58,27.36
28.26,27.66,28.78,26.67
27.64,28.01,28.08,27.06
28.26,28.07,28.90,27.78
27.71,26.58,27.71,25.97
26.42,27.24,27.36,26.34
27.32,26.90,27.80,26.71
27.38,27.61,27.86,26.65
27.33,26.18,27.80,26.18
26.21,26.29,26.98,25.75
26.89,27.96,28.11,26.64
27.84,28.68,29.13,27.66
29.21,28.97,30.63,28.72
28.71,28.07,28.71,27.66
28.14,28.22,28.90,27.99
28.69,28.51,29.18,27.88
28.55,28.59,29.10,28.22
28.92,30.48,30.77,28.92
30.50,30.23,31.49,29.82
30.14,30.08,30.72,29.81
29.89,29.29,30.46,29.05
29.73,29.57,29.99,28.23
29.64,30.60,31.34,29.53
30.64,30.37,31.02,29.81
30.36,29.00,30.73,28.69
28.65,28.60,29.72,28.54
29.05,29.75,29.85,28.73
29.75,29.66,29.98,29.08
29.63,29.97,30.12,28.64
29.80,30.11,30.20,29.10
30.24,29.88,30.78,29.23
30.31,30.49,30.89,29.09
30.42,29.84,30.49,29.12
30.32,30.82,31.03,29.72
30.72,29.67,30.79,29.44
30.03,29.56,30.37,28.95
29.52,30.63,30.97,29.52
30.69,30.83,31.25,30.31
30.61,31.12,31.34,30.16
31.37,30.89,31.89,30.76
30.94,30.14,31.01,29.92
30.65,31.78,31.95,30.31
31.90,31.68,31.96,31.28
30.95,30.41,31.28,30.00
30.65,30.77,31.56,30.27
31.05,31.20,31.99,30.43
31.27,30.62,31.69,30.59
30.92,30.24,31.15,30.08
29.96,30.59,30.79,29.66
30.20,29.99,30.61,29.26
30.35,30.01,30.35,29.24
29.71,29.94,30.21,29.47
30.05,29.18,30.24,28.82
29.48,29.75,30.03,28.74
28.99,26.55,28.99,26.16
26.63,26.17,26.85,25.50
26.11,26.24,27.02,26.11
26.25,26.77,26.97,25.76
26.77,26.92,27.09,26.40
26.98,27.44,27.47,26.62
27.08,27.33,27.60,26.70
26.94,27.50,27.69,26.93
27.57,27.49,27.89,27.42
27.34,27.27,27.95,27.00
27.29,27.53,28.02,27.05
27.87,28.19,29.07,27.76
28.12,28.34,28.50,27.79
28.22,28.35,28.68,28.00
28.01,28.01,28.25,27.64
28.17,28.24,28.59,28.02
28.00,28.19,28.41,27.80
28.00,28.28,28.49,27.42
28.00,28.35,28.46,27.75
28.95,28.62,28.98,28.52
28.69,28.63,29.00,28.26
28.61,29.96,30.12,28.40
29.92,30.27,30.36,29.90
30.63,30.69,31.15,30.48
30.79,30.72,30.95,30.49
30.87,30.63,30.87,30.31
30.70,30.18,30.70,30.05
30.19,29.64,30.35,29.62
29.64,29.43,29.64,29.16
29.46,30.10,30.36,29.01
30.14,30.74,30.76,29.82
30.74,30.32,30.74,30.27
30.40,30.45,30.78,30.16
30.60,30.87,31.27,30.39
30.83,30.94,31.13,30.65
30.89,30.85,31.25,30.61
30.68,31.19,31.21,30.01
31.14,30.38,31.14,30.20
30.29,30.74,30.99,30.27
30.65,31.03,31.20,30.42
30.93,30.65,31.10,30.64
30.92,31.47,31.57,30.79
31.59,30.67,31.59,30.32
30.52,30.65,30.85,30.00
30.70,29.91,30.70,29.63
29.99,29.42,30.11,28.69
29.23,29.48,29.61,28.55
29.49,28.75,29.49,28.31
28.92,29.04,29.57,28.51
29.08,28.65,29.08,28.54
28.55,27.97,28.73,27.79
27.69,28.44,28.51,27.54
28.47,27.78,28.78,27.18
27.73,28.25,29.08,27.25
28.48,27.39,28.48,27.30
27.50,27.85,27.89,27.14
27.66,28.21,28.24,27.42
28.20,28.51,28.79,27.80
28.52,28.25,28.59,27.77
28.15,28.43,28.90,28.12
28.52,28.16,29.11,27.93
28.21,28.65,29.38,28.10
