NNA,Navios Maritime Acquisition Corporation Common stock,NASDAQ
9.90,9.85,9.95,9.85
9.95,9.90,9.95,9.87
9.90,9.90,9.90,9.88
9.90,9.88,9.91,9.84
9.90,9.79,9.90,9.79
9.81,9.79,9.85,9.79
9.82,9.88,9.90,9.82
9.87,9.87,9.89,9.77
9.88,9.84,9.90,9.82
9.89,9.89,9.89,9.84
10.00,9.89,10.00,9.82
9.84,9.90,9.90,9.84
9.85,9.89,9.89,9.85
9.94,9.83,9.94,9.80
9.84,9.83,9.90,9.83
9.90,9.80,9.90,9.80
9.86,9.82,9.86,9.80
9.86,9.80,9.86,9.78
9.81,9.80,9.86,9.77
9.78,9.86,9.86,9.78
9.83,9.87,9.88,9.83
9.86,9.87,9.87,9.86
9.84,9.83,9.84,9.83
9.78,9.82,9.83,9.78
9.79,9.82,9.82,9.78
9.86,9.81,9.86,9.81
9.79,9.84,9.85,9.79
9.82,9.81,9.82,9.81
9.82,9.81,9.82,9.81
9.82,9.83,9.83,9.81
9.81,9.81,9.84,9.81
9.81,9.83,9.83,9.81
9.82,9.83,9.84,9.81
9.83,9.85,9.87,9.83
9.85,9.83,9.85,9.83
9.84,9.85,9.85,9.84
9.83,9.85,9.85,9.82
9.82,9.85,9.86,9.82
9.83,9.82,9.84,9.82
9.84,9.84,9.88,9.84
9.86,9.82,9.86,9.82
9.83,9.85,9.85,9.83
9.83,9.83,9.84,9.83
9.82,9.84,9.84,9.82
9.83,9.84,9.84,9.83
9.82,9.83,9.85,9.82
9.82,9.84,9.85,9.82
9.85,9.83,9.85,9.82
9.83,9.82,9.85,9.82
9.82,9.83,9.84,9.82
9.84,9.83,9.84,9.83
9.85,9.84,9.85,9.84
9.83,9.83,9.86,9.83
9.84,9.84,9.86,9.82
9.82,9.84,9.87,9.82
9.85,9.84,9.85,9.83
9.82,9.84,9.85,9.82
9.83,9.83,9.84,9.83
9.84,9.82,9.84,9.82
9.82,9.82,9.86,9.81
9.83,9.87,9.87,9.83
9.85,9.87,9.87,9.84
9.87,9.86,9.87,9.84
9.84,9.89,9.97,9.84
9.84,9.84,9.89,9.83
9.87,9.90,9.90,9.85
9.85,9.90,9.90,9.85
9.90,9.89,9.93,9.87
9.88,9.91,9.91,9.88
9.89,9.92,9.93,9.88
9.92,9.92,9.93,9.89
9.91,9.92,9.92,9.86
9.92,9.93,9.94,9.92
9.94,9.95,9.98,9.90
9.94,9.94,9.99,9.91
9.94,9.94,9.95,9.88
9.93,9.95,9.95,9.90
9.95,9.94,9.95,9.93
9.95,9.95,9.95,9.91
9.92,9.91,9.94,9.90
9.99,9.92,9.99,9.90
9.97,9.91,9.97,9.90
9.89,9.74,9.97,9.18
9.77,9.74,9.88,9.71
9.70,9.78,9.82,9.63
9.78,9.68,9.78,9.68
9.73,9.70,9.80,9.60
9.52,9.56,9.68,9.50
9.20,9.04,9.20,8.95
8.97,9.09,9.13,8.80
9.00,9.08,9.14,9.00
8.99,9.08,9.19,8.99
9.04,9.20,9.25,9.04
9.16,9.08,9.20,9.03
9.07,9.22,9.35,9.07
9.20,9.13,9.33,9.03
9.11,9.03,9.18,8.95
9.03,8.22,9.33,8.09
8.26,7.04,8.36,6.66
7.05,6.78,7.06,6.70
6.75,6.61,6.82,6.51
6.52,6.56,6.59,6.52
6.55,6.50,6.65,6.50
6.51,6.51,6.59,6.50
6.47,6.52,6.58,6.46
6.49,6.60,6.69,6.46
6.51,6.65,6.65,6.50
6.65,6.54,6.65,6.33
6.61,6.59,6.61,6.49
6.59,6.69,6.69,6.52
6.66,6.53,6.66,6.52
6.50,6.44,6.51,6.44
6.40,6.53,6.57,6.20
6.50,6.73,6.86,6.50
6.76,6.80,6.82,6.76
6.77,6.84,6.87,6.62
6.86,6.80,6.94,6.73
6.71,6.66,6.73,6.66
6.65,6.80,6.80,6.56
6.78,6.72,6.79,6.72
6.74,6.72,6.75,6.71
6.74,6.72,6.74,6.69
6.63,6.48,6.70,6.48
6.53,6.38,6.60,6.38
6.36,6.20,6.36,6.20
6.18,6.00,6.21,5.91
6.06,6.07,6.08,6.02
6.07,5.99,6.07,5.87
5.96,5.98,6.00,5.89
5.96,6.00,6.00,5.96
6.00,5.89,6.00,5.89
5.89,6.03,6.03,5.89
6.00,5.91,6.03,5.90
5.90,5.85,5.90,5.81
5.87,5.82,5.87,5.81
5.86,6.13,6.14,5.86
6.13,6.33,6.33,5.93
6.34,6.52,6.61,6.34
6.58,6.63,6.63,6.55
6.67,6.82,6.92,6.64
6.81,6.85,6.85,6.81
6.85,6.58,6.85,6.58
6.63,6.53,6.73,6.53
6.54,6.50,6.54,6.50
6.50,6.58,6.58,6.40
6.60,6.40,6.60,6.15
6.40,6.14,6.40,6.10
6.20,6.23,6.30,6.18
6.21,6.04,6.25,6.00
5.99,6.21,6.21,5.99
6.22,6.14,6.26,6.01
6.10,6.20,6.22,6.00
6.15,6.20,6.36,6.12
6.16,6.16,6.18,6.05
6.15,6.17,6.25,6.15
6.17,6.05,6.17,5.96
6.02,6.09,6.09,5.95
6.12,5.91,6.18,5.86
5.92,6.00,6.01,5.78
6.02,6.02,6.02,6.02
5.97,5.82,5.97,5.82
5.75,5.73,5.75,5.60
