JOBS,51job,NASDAQ
17.73,17.90,18.23,17.73
17.92,18.30,18.50,17.90
18.47,18.44,18.65,18.36
18.43,19.00,19.00,18.25
19.00,19.04,19.08,18.61
19.33,18.96,19.33,18.96
18.86,18.72,19.00,18.65
18.71,18.61,18.85,18.52
18.52,18.31,18.52,18.30
18.00,18.30,18.65,18.00
18.55,18.19,18.55,18.07
18.02,17.04,18.13,16.83
17.00,15.97,17.00,15.88
15.76,16.30,16.65,15.76
16.56,16.60,16.70,16.26
16.59,16.28,16.59,16.12
16.22,16.23,16.40,16.00
16.07,16.30,16.49,16.05
16.20,15.99,16.30,15.75
16.00,15.80,16.11,15.60
15.75,15.88,15.98,15.70
15.99,16.73,16.74,15.98
16.16,16.10,16.17,15.95
15.95,15.71,15.95,15.31
15.71,15.72,15.83,15.70
15.90,15.60,15.90,15.33
15.70,15.70,15.77,15.61
15.90,16.10,16.28,15.90
16.22,16.74,16.90,16.22
16.99,17.44,17.44,16.98
17.50,18.18,18.27,16.77
17.56,18.03,18.14,17.44
18.14,18.25,18.25,17.96
18.28,18.75,19.00,18.28
18.94,18.61,18.98,18.39
18.59,18.30,18.60,18.26
18.25,18.75,18.76,17.89
18.70,17.90,18.70,17.90
18.26,18.01,18.99,17.32
18.03,18.45,19.31,17.90
18.39,18.18,18.39,17.94
17.80,18.20,18.41,17.80
19.53,18.46,20.35,18.05
18.30,18.39,18.40,17.98
18.37,18.12,18.37,18.05
18.13,18.19,18.23,18.07
18.31,18.19,18.40,18.05
18.54,18.36,18.54,17.99
18.07,18.28,18.33,17.99
18.62,18.27,18.62,18.06
18.23,18.19,18.23,18.01
18.10,18.10,18.18,18.05
18.09,18.09,18.19,18.00
18.17,18.05,18.21,17.94
18.04,18.10,18.17,17.99
18.05,18.10,18.20,18.05
18.09,18.02,18.17,18.01
18.10,18.04,18.11,17.82
18.00,18.01,18.07,17.97
18.10,18.10,18.10,17.92
18.00,17.99,18.07,17.92
17.83,17.94,18.06,17.83
18.00,18.05,18.12,18.00
17.94,18.05,18.06,17.52
18.00,18.03,18.05,17.95
17.97,18.00,18.03,17.92
17.97,19.10,19.61,17.97
19.00,19.69,19.69,18.90
19.60,19.36,19.63,19.10
19.61,19.38,19.61,19.31
19.38,19.01,19.65,18.93
18.83,18.62,19.20,18.53
18.51,18.27,18.63,18.25
18.99,18.50,18.99,18.24
18.39,18.30,18.44,18.17
