HMNF,HMN Financial,NASDAQ
4.18,4.26,4.76,4.02
4.35,4.36,4.36,4.27
4.89,4.97,5.05,4.51
4.85,5.05,5.05,4.85
5.02,5.57,5.57,4.95
5.26,5.26,5.26,5.26
5.52,5.26,5.52,5.26
5.26,5.28,5.31,5.26
5.45,5.45,5.45,5.44
5.51,5.51,5.58,5.51
5.51,5.20,5.99,5.20
5.32,5.50,5.50,5.32
5.50,5.84,5.95,5.50
5.79,5.65,5.82,5.65
5.83,5.62,5.83,5.62
5.50,5.50,5.51,5.50
5.40,5.40,5.40,5.40
5.40,5.50,5.50,5.40
5.40,5.40,5.40,5.40
5.50,5.50,5.50,5.40
5.60,5.55,5.60,5.55
5.40,5.40,5.40,5.40
5.15,5.10,5.15,5.10
5.13,5.10,5.40,4.99
5.10,5.10,5.10,5.10
4.75,4.95,4.95,4.75
4.73,4.97,5.17,4.71
4.65,4.94,5.00,4.24
4.25,4.95,4.95,4.25
5.25,5.00,5.25,4.82
5.30,5.06,5.30,5.01
5.12,4.87,5.12,4.81
5.29,5.09,5.45,5.09
4.90,4.82,4.95,4.82
4.90,4.85,4.90,4.85
4.80,4.82,4.99,4.80
4.98,4.97,5.00,4.75
4.99,4.99,4.99,4.99
5.00,4.86,5.00,4.86
4.95,5.03,5.15,4.95
5.17,5.17,5.17,5.17
4.97,4.95,4.97,4.95
5.00,5.06,5.17,4.95
5.03,5.20,5.24,4.99
5.20,5.20,5.20,5.20
5.20,5.14,5.20,4.90
5.14,5.14,5.14,5.14
5.14,5.14,5.14,5.14
5.14,5.14,5.14,5.14
4.70,5.20,5.20,4.70
4.71,5.09,5.09,4.71
5.00,5.00,5.00,4.99
4.95,5.10,5.10,4.95
4.92,4.93,4.93,4.90
4.78,5.00,5.00,4.75
4.95,5.19,5.19,4.95
5.25,5.41,5.45,5.23
5.41,5.41,5.41,5.41
5.40,5.25,5.50,5.25
5.25,5.30,5.55,5.25
5.50,5.50,5.50,5.50
5.49,5.48,6.20,5.48
5.45,5.62,5.92,5.45
5.89,5.88,6.20,5.76
5.66,5.43,5.69,5.33
