TLT,iShares 20+ Year Treasury Bond ETF,NASDAQ
89.84,89.81,90.10,89.58
90.05,90.39,90.63,90.00
90.17,89.18,90.26,89.12
89.22,89.33,89.64,89.12
89.51,89.29,89.56,88.76
88.99,88.80,89.36,88.77
90.16,90.32,90.39,89.84
89.93,89.27,90.28,89.22
89.69,90.52,90.52,89.54
91.03,91.08,91.33,90.98
90.72,90.82,91.12,90.42
91.32,91.74,91.77,91.27
91.55,92.16,92.39,91.46
92.09,92.00,92.31,91.77
91.54,91.58,91.92,91.49
92.02,91.61,92.11,91.31
91.75,91.56,92.09,91.37
91.13,91.51,91.70,91.06
91.41,92.31,92.36,91.25
91.71,91.15,91.73,91.05
91.18,91.41,91.45,91.04
90.81,90.35,90.97,90.27
90.99,91.78,91.82,90.90
91.37,91.98,92.42,91.21
91.87,92.10,92.15,91.65
91.74,91.18,92.22,91.14
91.32,90.31,91.60,90.20
90.20,89.82,90.28,89.38
90.31,90.19,90.42,89.95
89.73,90.36,90.44,89.73
89.92,89.33,90.09,89.08
89.46,88.97,89.50,88.51
89.24,89.45,89.51,88.90
89.12,89.08,89.32,88.92
89.34,90.47,90.54,89.30
90.55,90.69,90.88,90.18
91.18,91.20,91.29,90.90
91.46,91.67,92.06,91.41
91.33,91.34,91.53,90.96
90.88,91.22,91.28,90.70
91.01,90.99,91.08,90.70
90.96,91.47,91.68,90.83
90.83,90.27,90.87,90.12
89.90,89.80,89.97,89.70
89.98,89.82,90.00,89.40
89.49,89.59,89.70,89.19
89.39,89.92,90.14,89.37
89.77,90.48,90.65,89.73
90.35,90.36,90.47,90.05
90.56,91.08,91.09,90.54
91.31,91.47,91.47,91.07
91.42,91.17,91.48,91.01
91.26,91.26,91.58,90.87
91.35,91.36,91.49,91.22
91.07,90.93,91.32,90.91
89.84,89.27,90.25,89.06
89.13,88.70,89.24,88.37
88.54,88.95,89.12,88.49
88.78,88.61,88.85,88.31
88.52,88.89,88.95,88.27
89.22,89.50,89.52,88.95
88.77,88.95,89.03,88.43
87.98,87.47,88.14,87.41
87.80,87.61,87.85,87.35
87.45,88.73,88.92,87.30
88.89,88.77,89.13,88.48
88.61,88.98,89.06,88.41
89.17,89.45,89.56,89.09
89.89,89.74,89.95,89.52
89.76,89.11,89.87,89.11
88.85,89.21,89.50,88.68
89.40,89.86,89.99,89.24
89.87,89.64,90.03,89.52
89.85,89.96,89.99,89.64
90.27,90.70,90.83,90.26
90.90,90.43,91.09,90.33
90.21,90.11,90.36,89.87
90.51,90.21,90.65,89.94
90.85,91.48,91.92,90.70
91.13,90.70,91.35,90.48
90.86,91.08,91.22,90.52
91.28,92.13,92.17,91.11
91.42,91.69,92.02,91.28
92.81,93.34,93.47,92.56
94.06,93.89,94.85,93.35
94.16,96.79,100.00,93.78
95.88,95.58,98.09,95.27
93.16,93.60,93.94,93.09
93.98,93.36,94.02,92.99
93.14,92.65,93.26,92.61
93.26,93.26,93.55,92.20
94.12,94.88,95.50,94.09
94.72,94.53,95.71,94.47
94.90,95.98,96.17,94.77
95.94,96.30,96.95,95.93
97.91,98.33,98.57,97.53
99.61,98.43,99.75,97.86
98.74,98.09,98.87,97.90
99.65,98.57,99.89,98.40
98.22,98.29,98.40,97.40
96.83,96.06,96.99,95.88
96.49,96.50,96.78,96.02
97.23,96.85,97.29,96.25
96.99,95.93,97.19,95.82
95.21,95.23,95.91,95.10
96.94,97.79,97.95,96.70
97.52,98.54,98.59,97.33
97.93,98.05,98.51,97.76
97.60,97.94,98.12,97.21
97.20,96.19,97.29,96.09
97.09,97.41,97.81,96.61
96.32,96.91,97.04,96.22
97.11,96.51,97.25,96.05
97.19,97.06,97.22,96.39
97.15,97.85,98.23,97.07
97.89,97.69,98.11,97.57
96.46,97.41,97.55,96.41
97.68,98.57,98.60,97.42
98.61,99.24,99.57,98.57
99.35,98.65,99.59,98.35
98.32,99.05,99.33,98.16
99.60,99.98,100.00,99.42
100.32,101.07,101.13,100.16
101.41,101.75,101.79,100.80
101.57,101.60,102.66,101.38
101.11,100.79,101.44,100.16
100.83,101.62,101.75,100.74
101.46,100.43,101.51,100.34
99.82,99.79,100.16,99.55
99.40,99.22,99.64,99.18
99.33,99.18,99.84,99.04
98.85,98.33,98.89,98.18
98.72,99.32,99.49,98.39
99.74,100.31,100.59,99.70
100.31,100.80,101.13,100.27
100.56,100.18,100.75,99.98
100.67,100.33,100.90,100.18
100.45,102.03,102.28,100.41
101.51,100.85,101.52,100.82
100.80,99.78,100.97,99.69
99.63,99.61,99.81,99.00
98.78,98.65,99.18,98.57
98.49,98.97,99.19,98.27
98.10,98.94,99.02,97.92
100.20,100.48,100.61,99.85
99.24,98.75,99.33,98.75
99.20,99.32,99.66,98.93
99.50,98.56,99.51,98.56
99.34,99.02,99.49,98.84
99.79,100.10,100.21,99.49
99.74,99.73,99.98,99.61
100.06,99.94,101.01,99.47
100.31,101.28,101.39,100.31
101.58,101.03,101.94,100.87
101.62,102.29,102.45,101.48
104.21,104.85,104.89,104.07
104.85,104.25,104.86,104.00
105.00,104.53,105.65,104.49
104.79,106.16,106.61,104.64
106.41,106.04,106.83,105.84
105.65,106.06,106.19,105.25
107.04,107.76,108.13,106.67
108.80,107.41,109.34,107.07
107.56,108.42,108.49,107.29
107.77,105.35,108.33,105.20
106.21,107.37,107.40,105.82
108.22,108.56,108.65,107.62
107.02,106.00,107.05,105.09
105.20,104.88,105.30,104.40
102.72,103.58,103.94,102.70
105.09,105.70,105.78,104.81
105.09,104.86,105.21,104.36
103.70,102.79,103.84,102.64
102.25,102.32,102.70,101.85
101.80,102.82,103.05,101.77
103.03,103.81,103.82,102.97
102.75,102.27,103.26,102.14
101.53,101.26,101.82,100.85
101.83,101.67,102.16,101.32
102.15,102.26,102.45,101.69
102.67,103.68,104.02,102.26
104.55,104.61,105.07,103.85
105.41,104.91,105.46,104.24
103.96,103.50,104.11,103.50
104.53,105.30,105.45,104.48
105.38,106.02,106.32,105.34
106.17,105.58,106.27,105.35
105.40,105.51,105.59,104.03
104.23,104.61,105.14,103.98
104.62,104.88,104.93,104.41
104.73,104.25,104.81,103.93
104.90,105.56,106.10,104.86
105.17,104.68,105.38,104.67
104.87,104.22,105.46,104.22
104.11,104.24,104.43,103.94
104.41,103.21,104.76,103.18
102.35,103.05,103.12,102.04
103.29,101.51,103.65,101.47
100.60,100.27,101.05,99.89
101.20,101.08,101.45,100.78
100.58,101.69,102.09,100.55
101.37,101.91,102.28,101.21
101.69,100.70,101.91,100.69
100.44,101.38,101.47,100.41
102.12,101.67,102.29,101.55
100.86,100.10,101.06,100.05
99.68,99.22,100.17,99.22
99.58,99.49,99.83,99.16
99.82,100.42,100.46,99.62
100.80,99.67,100.81,99.49
100.46,100.98,101.09,100.42
101.73,98.92,102.27,98.43
99.17,99.69,99.87,99.08
98.35,97.98,98.80,97.98
98.59,98.42,98.92,97.82
98.49,96.25,98.52,96.19
96.35,96.38,96.74,95.00
96.45,96.33,96.63,96.14
96.21,95.81,96.74,95.81
95.33,93.81,95.72,93.81
94.91,96.14,96.25,93.99
95.80,95.61,96.76,95.34
95.68,96.00,96.00,94.80
96.09,96.59,96.59,95.79
97.37,97.00,97.62,96.24
97.67,97.48,97.95,97.24
96.81,95.74,96.99,95.58
96.72,97.07,97.12,96.55
97.56,97.90,97.95,97.09
99.21,98.41,99.27,98.11
96.65,95.89,97.11,95.89
95.96,95.64,96.54,95.53
96.28,94.89,96.33,94.85
95.52,96.23,96.25,95.31
94.72,94.17,94.92,93.16
93.72,93.26,93.80,92.11
93.60,93.72,94.27,92.73
93.29,93.15,93.86,93.14
93.05,93.50,94.03,92.56
92.40,92.14,93.02,91.44
92.08,90.94,92.24,90.47
91.03,91.57,91.58,90.57
91.88,93.24,93.77,91.86
93.75,93.14,94.23,92.64
93.13,93.79,93.79,92.49
93.47,93.12,93.55,92.93
93.18,92.93,93.23,92.53
92.76,93.76,93.88,92.30
92.93,91.61,93.07,91.31
91.76,93.16,93.52,91.47
92.88,93.09,93.28,92.41
93.51,94.12,94.70,93.44
93.20,93.41,94.31,92.95
93.41,93.52,93.77,92.91
92.49,91.46,92.69,91.19
91.54,91.86,92.12,91.16
91.51,92.35,92.63,91.03
92.58,92.85,92.99,92.18
92.49,92.33,92.60,91.69
91.74,91.61,92.17,91.45
91.62,92.43,92.77,91.45
92.78,91.84,92.90,91.76
91.29,91.41,91.71,90.73
91.41,92.07,92.07,91.36
91.50,90.80,91.61,90.39
90.69,91.52,91.52,90.51
91.87,91.56,91.90,91.38
91.94,92.43,92.90,91.32
92.22,91.03,92.26,90.89
