CTSO,Cytosorbents Corporation - Common Stock,NASDAQ
4.88,6.12,6.35,4.85
6.45,5.05,6.90,5.05
5.25,5.62,6.00,5.12
5.88,5.00,5.88,5.00
5.00,5.25,5.38,4.75
5.50,5.25,5.50,5.00
5.50,4.25,5.50,4.18
4.12,4.38,4.72,4.12
4.50,4.62,4.62,4.25
4.50,4.38,4.62,4.38
4.25,4.62,4.62,4.08
4.62,4.50,4.72,4.30
4.50,4.25,4.50,4.25
4.50,4.38,4.50,4.25
4.28,4.38,4.50,4.25
4.25,4.50,4.50,4.13
4.25,4.50,4.50,4.25
4.50,4.50,4.50,4.28
4.50,4.38,4.50,4.25
4.50,4.28,4.60,4.28
4.38,4.25,4.50,4.25
4.50,5.20,5.25,4.30
6.00,6.50,7.50,5.25
6.48,5.25,6.48,4.90
5.48,4.88,5.48,4.58
4.85,4.48,4.85,4.42
4.50,4.62,4.65,4.28
4.65,4.50,4.75,4.38
4.58,4.88,4.99,4.50
5.00,4.75,5.00,4.55
5.00,4.88,5.82,4.75
4.78,4.72,4.85,4.58
4.62,4.57,4.62,4.45
4.75,4.50,4.75,4.45
4.56,4.32,4.56,4.31
4.35,4.38,4.50,4.28
4.38,4.38,4.38,4.08
4.38,4.18,4.38,4.12
4.12,4.12,4.25,3.98
4.12,3.88,4.25,3.75
4.00,4.12,4.12,4.00
4.00,4.00,4.12,3.88
4.12,4.12,4.12,4.05
4.12,3.95,4.12,3.90
4.00,3.98,4.12,3.90
3.99,4.00,4.12,3.90
4.00,3.92,4.00,3.92
3.92,4.00,4.05,3.88
3.90,3.78,4.25,3.78
3.80,3.82,4.00,3.75
3.75,3.75,3.82,3.62
3.75,3.75,4.00,3.65
3.75,3.85,4.00,3.62
3.75,3.78,3.90,3.62
3.78,3.88,3.88,3.65
3.88,3.80,3.88,3.75
3.88,3.88,3.98,3.75
3.78,3.87,3.88,3.78
3.87,3.87,3.87,3.75
3.85,3.85,3.85,3.75
3.80,4.35,4.58,3.78
N/A,N/A,N/A,N/A
4.12,3.78,4.12,3.78
3.88,3.75,3.88,3.62
3.75,3.50,3.80,3.50
3.50,3.50,3.50,3.25
3.40,3.38,3.50,3.25
3.35,3.62,3.80,3.35
3.69,3.25,3.75,3.18
3.38,3.50,3.50,2.75
3.38,3.55,3.62,3.38
3.55,3.50,3.56,3.13
3.13,3.45,3.50,3.13
3.28,3.35,3.50,3.28
3.25,3.25,3.38,3.18
3.25,3.50,3.50,3.25
3.25,3.48,3.50,3.18
3.25,3.38,3.38,3.25
3.35,3.25,3.35,3.18
3.38,3.30,3.50,3.25
3.30,3.31,3.31,3.25
3.30,3.19,3.31,3.19
3.19,3.00,3.25,2.88
3.02,3.00,3.12,2.88
3.00,2.88,3.05,2.88
3.00,2.88,3.00,2.72
3.00,2.88,3.00,2.88
2.88,2.75,2.88,2.50
2.75,3.00,3.00,2.75
2.75,2.98,3.00,2.75
2.76,2.88,2.88,2.76
2.81,2.72,2.81,2.62
2.82,2.56,3.00,2.50
2.50,2.62,2.75,2.50
2.62,2.62,2.75,2.42
2.62,2.25,2.62,2.19
2.05,2.00,2.22,1.72
2.00,2.00,2.00,1.75
2.00,1.92,2.00,1.75
1.92,1.92,2.02,1.88
1.90,1.79,1.90,1.79
1.88,1.75,1.88,1.70
1.75,1.75,1.75,1.64
1.75,1.88,1.88,1.48
1.75,1.85,1.90,1.52
2.00,1.88,2.00,1.75
1.75,1.75,1.88,1.70
1.75,1.72,1.79,1.68
1.75,1.75,1.80,1.58
1.65,1.88,1.88,1.59
1.81,1.75,1.92,1.63
1.78,1.74,1.84,1.66
1.71,2.20,2.25,1.63
2.25,1.98,2.58,1.94
1.98,1.94,2.11,1.81
1.96,2.22,2.22,1.84
2.38,2.31,2.46,2.22
2.31,2.50,2.60,2.25
2.62,2.25,2.62,2.25
2.35,2.35,2.38,1.82
2.19,2.12,2.38,1.81
2.12,2.38,2.38,2.00
2.38,2.20,2.38,2.12
2.25,2.18,2.25,2.10
2.25,2.10,2.25,2.06
2.08,2.10,2.12,2.06
2.14,2.14,2.24,2.12
2.14,2.25,2.36,2.14
2.25,2.25,2.25,2.09
2.38,2.06,2.38,2.06
2.00,2.05,2.12,2.00
2.00,2.25,2.25,2.00
2.25,2.25,2.25,2.18
2.25,2.30,2.35,2.21
2.26,2.25,2.32,2.25
2.25,2.30,2.30,2.25
2.30,2.25,2.35,2.20
2.25,2.25,2.38,2.22
2.12,2.25,2.25,2.12
2.25,2.25,2.44,2.25
2.44,2.25,2.44,2.15
2.25,2.25,2.25,2.15
2.25,2.25,2.25,2.20
2.25,2.34,2.36,2.25
2.34,2.32,2.34,2.25
2.25,2.32,2.32,2.21
2.25,2.25,2.35,2.25
2.25,2.25,2.30,2.22
2.25,2.25,2.35,2.19
2.25,2.25,2.28,2.20
2.25,2.20,2.25,2.12
2.12,2.20,2.25,2.00
2.25,2.05,2.25,2.00
2.05,2.12,2.15,1.90
2.18,2.20,2.35,2.00
2.05,2.10,2.12,2.00
2.00,2.00,2.12,1.90
2.00,2.00,2.22,1.92
2.00,1.98,2.00,1.63
1.98,2.05,2.05,1.75
1.85,2.00,2.12,1.85
1.92,1.98,2.00,1.92
1.95,1.92,1.95,1.78
1.92,1.81,1.92,1.75
1.75,2.00,2.00,1.75
2.00,2.08,2.25,2.00
2.12,1.95,2.12,1.95
2.05,2.00,2.05,1.80
1.92,2.00,2.02,1.82
2.00,2.00,2.02,1.85
2.05,2.00,2.05,2.00
2.00,1.88,2.00,1.88
1.84,2.00,2.00,1.84
2.00,2.00,2.22,1.98
2.00,1.98,2.00,1.95
1.95,2.12,2.22,1.88
2.19,2.11,2.25,2.02
2.12,2.02,2.20,2.02
2.00,2.05,2.12,2.00
2.05,2.05,2.12,2.05
2.05,2.05,2.10,2.02
2.10,2.05,2.10,2.05
2.08,2.05,2.08,2.05
2.08,2.08,2.08,2.05
2.21,2.25,2.34,2.15
2.32,2.30,2.35,2.25
2.31,2.28,2.35,2.22
2.30,2.31,2.32,2.28
2.31,2.31,2.31,2.25
2.31,2.25,2.31,2.25
2.25,2.25,2.38,2.25
2.25,2.18,2.28,2.06
2.18,2.28,2.31,2.12
2.30,2.75,3.00,2.30
2.89,3.12,3.12,2.85
3.38,3.38,3.70,3.21
3.55,3.18,3.62,3.12
3.05,3.38,3.40,3.00
3.38,3.38,3.55,3.35
3.56,3.25,3.65,3.15
3.25,3.12,3.42,2.93
3.25,3.00,3.25,3.00
2.98,2.68,3.00,2.62
2.75,2.82,2.84,2.62
2.85,3.00,3.25,2.70
3.12,2.90,3.12,2.75
3.00,3.05,3.18,3.00
3.06,3.00,3.12,2.75
3.12,2.85,3.12,2.55
2.85,2.60,2.85,2.58
2.75,2.72,3.00,2.65
2.72,2.75,3.00,2.70
2.75,2.90,2.96,2.65
2.72,2.78,2.96,2.72
2.78,2.70,2.96,2.63
2.65,2.62,2.75,2.62
2.68,2.60,2.68,2.58
2.60,2.58,2.75,2.58
2.62,2.56,2.70,2.52
2.52,2.52,2.69,2.52
2.69,2.50,2.69,2.50
2.50,2.22,2.50,2.18
2.28,2.35,2.35,2.28
2.30,2.25,2.30,2.12
2.30,2.30,2.32,2.15
2.20,2.25,2.30,2.12
2.25,2.32,2.32,2.25
2.38,2.50,2.50,2.38
2.50,2.50,2.50,2.45
2.50,2.38,2.50,2.28
2.38,2.42,2.50,2.38
2.50,2.75,2.80,2.45
