EWV,ProShares UltraShort MSCI Japan,NASDAQ
190.92,187.34,191.32,187.24
186.00,185.12,186.00,183.52
184.92,183.28,184.92,182.84
186.32,185.52,187.20,185.24
182.92,181.40,183.04,181.36
179.88,179.20,180.32,178.84
175.52,176.64,176.64,175.08
176.80,174.12,177.68,167.32
171.12,168.79,171.32,168.56
168.88,169.44,172.64,168.68
171.96,168.96,171.96,168.96
176.68,177.72,179.96,176.65
173.32,175.80,178.00,173.32
175.96,178.92,178.92,174.76
176.24,176.80,177.60,175.40
181.00,179.84,181.24,177.68
182.60,182.44,184.64,181.24
181.96,186.08,187.83,181.96
187.36,190.48,190.92,187.16
186.88,186.76,188.61,186.76
182.84,181.12,183.56,180.00
183.92,184.20,185.88,176.84
188.36,190.68,192.80,188.36
194.00,191.16,196.08,191.16
193.20,195.68,195.68,191.52
191.68,189.92,192.80,188.94
190.84,191.64,194.68,190.84
192.16,189.58,192.16,188.83
194.04,192.32,194.04,191.20
191.80,187.72,193.00,187.72
186.72,187.84,188.32,185.96
187.68,187.00,188.44,186.40
191.00,192.32,194.56,191.00
189.84,189.24,190.32,188.52
190.00,190.64,191.62,189.44
190.76,188.55,190.76,184.72
191.84,189.00,192.68,184.44
187.32,186.12,188.00,182.04
182.40,181.48,182.40,181.16
180.08,180.84,181.20,178.16
179.24,178.24,179.24,177.00
181.12,181.64,181.66,181.12
180.16,179.00,180.92,179.00
176.48,176.00,176.64,175.20
177.68,176.92,177.68,174.96
178.72,177.60,178.86,177.60
177.72,176.00,177.96,176.00
173.52,173.68,174.92,173.08
174.76,174.00,176.36,174.00
172.36,171.00,173.08,171.00
171.12,169.08,171.44,169.08
170.64,171.40,171.48,170.64
171.02,173.08,173.08,171.02
171.60,170.60,171.60,170.60
170.16,167.48,170.16,167.48
173.72,172.64,173.72,172.36
172.20,174.67,174.67,170.88
171.24,169.80,171.24,169.68
166.72,165.00,167.00,165.00
162.36,163.49,164.28,162.36
165.40,167.57,167.57,165.24
164.08,162.76,164.68,162.76
163.64,162.04,163.64,162.04
163.22,161.80,163.44,161.68
162.55,162.12,162.55,162.06
164.08,161.76,164.40,161.76
162.92,161.32,162.92,161.32
161.76,161.36,161.76,161.36
161.56,161.92,163.64,161.42
161.00,160.00,161.00,160.00
160.72,158.67,160.72,158.67
160.80,164.60,164.76,160.80
166.84,165.92,167.68,165.92
164.92,164.92,164.92,164.92
165.08,165.56,166.52,165.00
170.00,168.56,170.76,168.56
169.20,168.00,169.20,167.44
163.60,163.76,163.88,163.08
164.40,169.56,169.60,164.40
169.00,170.15,170.80,169.00
166.00,166.04,166.04,166.00
168.24,167.16,168.24,166.84
