SBBX,Sussex Bancorp - Common Stock,NASDAQ
3.36,3.36,3.36,3.36
3.48,3.50,3.50,3.48
3.47,3.47,3.47,3.47
3.48,3.31,3.48,3.15
3.16,3.16,3.16,3.00
3.56,3.70,3.79,3.50
3.69,3.80,3.84,3.69
3.51,3.50,3.51,3.50
3.80,3.73,3.80,3.73
3.73,3.73,3.73,3.73
3.24,3.59,3.66,3.00
3.64,3.40,3.64,3.40
3.50,3.42,3.50,3.42
3.60,3.81,3.93,3.60
3.97,3.60,3.98,3.52
3.60,3.60,3.60,3.60
3.76,3.69,3.76,3.60
3.69,3.69,3.69,3.69
3.65,3.55,3.65,3.55
3.55,3.60,3.60,3.55
3.78,3.76,3.79,3.76
3.76,3.76,3.76,3.76
3.76,3.76,3.76,3.76
3.79,3.79,3.79,3.79
3.80,4.75,4.87,3.80
4.84,4.95,5.00,4.61
4.76,4.65,4.76,4.65
4.65,4.76,4.85,4.65
4.80,4.80,4.85,4.78
4.91,4.80,5.16,4.80
5.18,5.11,5.20,4.95
4.90,4.90,5.19,4.90
5.17,5.10,5.17,5.00
5.00,4.90,5.00,4.90
4.85,4.90,4.90,4.85
4.90,4.90,4.90,4.85
4.90,4.85,5.19,4.85
4.85,4.85,4.85,4.85
4.90,4.90,4.90,4.90
4.86,5.00,5.00,4.86
5.10,5.10,5.10,5.10
5.18,5.25,5.25,5.18
5.25,5.25,5.25,5.25
5.25,5.25,5.25,5.25
5.25,5.15,5.25,5.15
5.43,5.43,5.43,5.35
5.43,5.43,5.43,5.43
5.43,5.43,5.43,5.43
5.45,5.49,5.50,5.42
5.47,5.55,5.75,5.44
5.50,5.42,5.59,5.42
5.61,5.61,5.61,5.61
5.46,5.45,5.50,5.45
5.50,5.68,5.70,5.45
5.45,5.70,5.70,5.45
5.70,5.60,5.70,5.60
5.60,5.60,5.60,5.60
5.49,5.70,5.70,5.30
5.70,5.62,5.70,5.62
5.64,5.70,5.70,5.50
5.67,5.70,5.70,5.60
5.67,5.70,5.70,5.65
5.70,5.65,5.70,5.65
5.65,5.65,5.65,5.65
5.35,5.55,5.55,5.35
5.59,5.60,5.70,5.59
5.68,5.70,5.70,5.68
5.70,5.59,5.70,5.59
5.80,5.80,5.90,5.80
5.75,5.71,5.75,5.70
5.88,5.90,6.00,5.88
5.98,6.10,6.15,5.98
6.10,6.05,6.10,6.05
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.07,6.01,6.11,6.01
6.11,6.25,6.25,6.11
6.25,6.36,6.62,6.25
6.70,6.40,6.70,6.13
6.40,6.40,6.40,6.40
6.48,6.49,6.50,6.48
6.48,6.32,6.50,6.32
6.45,6.64,6.70,6.45
6.50,6.50,6.58,6.44
6.50,6.60,6.60,6.20
6.70,6.55,6.70,6.55
6.55,6.55,6.55,6.55
6.25,6.35,6.35,6.25
6.35,6.55,6.55,6.35
6.50,6.50,6.50,6.50
6.55,6.50,6.55,6.50
6.50,6.50,6.50,6.50
6.50,6.70,6.70,6.50
6.70,6.54,6.70,6.50
6.54,6.55,6.55,6.54
6.50,6.50,6.50,6.50
6.48,6.40,6.48,6.40
6.39,6.20,6.40,6.20
6.15,6.15,6.24,6.15
6.16,6.01,6.19,6.01
6.31,6.21,6.31,6.21
6.30,6.42,6.70,6.30
6.39,6.33,6.42,6.33
5.87,5.96,5.98,5.85
6.31,6.15,6.36,5.95
6.15,6.15,6.15,6.15
6.15,6.15,6.15,6.15
6.15,6.15,6.15,6.15
6.16,6.10,6.16,6.10
6.15,6.00,6.15,6.00
6.00,6.00,6.00,5.99
6.00,6.00,6.00,6.00
5.95,5.80,5.95,5.65
5.80,5.80,5.80,5.80
5.85,5.85,5.85,5.85
5.85,5.81,5.91,5.80
5.94,5.81,6.25,5.81
5.80,5.85,5.85,5.60
5.86,5.64,5.86,5.63
5.50,5.36,5.80,5.20
5.35,5.27,5.36,5.15
5.27,5.27,5.27,5.27
5.25,5.21,5.25,5.20
5.22,5.21,5.22,5.21
5.21,5.21,5.21,5.21
5.56,5.46,5.60,5.46
5.46,5.46,5.46,5.46
5.75,5.65,5.75,5.50
5.65,5.65,5.65,5.65
5.65,5.65,5.65,5.65
5.60,5.60,5.60,5.60
5.65,5.60,5.70,5.60
5.56,5.56,5.56,5.56
5.56,5.56,5.56,5.56
5.56,5.56,5.56,5.56
5.56,5.56,5.56,5.56
5.00,5.78,5.78,4.75
5.78,5.78,5.78,5.78
4.91,5.23,5.23,4.91
5.80,5.75,5.80,5.75
5.75,5.75,5.75,5.75
5.80,5.25,5.80,5.00
4.76,4.92,4.95,4.75
4.92,4.92,4.92,4.92
5.50,5.50,5.50,5.47
5.51,5.30,5.52,5.30
5.30,5.25,5.30,5.24
5.21,5.30,5.42,5.21
5.30,5.30,5.30,5.30
5.30,5.35,5.35,5.30
5.30,5.30,5.30,5.30
5.76,5.70,5.76,5.07
5.06,5.43,5.70,5.01
5.25,5.24,5.28,5.07
5.01,5.69,5.70,5.01
5.69,5.69,5.69,5.69
5.25,5.13,5.25,4.63
5.10,4.90,5.10,4.90
5.10,4.90,5.10,4.90
