SBFG,SB Financial Group,NASDAQ
6.61,6.54,6.62,6.54
6.55,6.53,6.55,6.53
6.65,6.58,6.68,6.53
6.55,6.70,6.77,6.55
6.70,6.81,6.83,6.52
6.75,6.83,6.83,6.63
6.84,6.85,6.85,6.80
6.89,7.10,7.10,6.89
7.10,7.10,7.10,7.10
7.19,7.24,7.24,7.19
7.24,7.06,7.24,7.06
7.02,7.01,7.02,7.01
7.01,7.01,7.01,7.01
7.10,7.06,7.10,7.06
6.97,6.92,6.97,6.92
6.69,6.69,6.69,6.69
6.95,7.25,7.25,6.95
6.60,6.49,6.61,6.46
6.53,6.60,6.60,6.51
7.20,6.57,7.20,6.52
6.57,6.51,6.73,6.51
6.60,6.60,6.63,6.60
6.60,6.60,6.60,6.60
6.55,6.55,6.55,6.52
6.55,6.55,6.55,6.55
6.70,6.70,6.75,6.70
6.75,6.67,6.75,6.67
6.70,6.75,6.75,6.70
6.99,6.99,6.99,6.99
6.98,6.98,6.98,6.98
6.98,6.98,6.98,6.98
6.98,6.98,6.98,6.98
6.99,6.91,7.04,6.85
6.95,6.95,6.95,6.95
6.95,6.95,6.95,6.95
6.95,6.95,6.95,6.95
6.95,6.95,6.95,6.95
7.00,6.90,7.05,6.90
6.90,6.90,6.95,6.90
6.90,6.90,6.98,6.90
6.92,6.95,7.00,6.92
6.92,6.92,6.92,6.92
6.90,6.93,6.95,6.89
6.85,6.85,6.85,6.85
6.85,6.85,6.87,6.85
6.85,6.65,6.87,6.62
6.85,6.85,6.85,6.85
6.62,6.85,6.85,6.61
6.63,6.66,6.66,6.63
6.66,6.66,6.66,6.66
6.67,6.45,6.67,6.45
6.41,6.05,6.41,6.05
6.05,5.95,6.05,5.94
6.01,6.10,6.20,6.01
6.05,6.00,6.10,5.75
6.24,6.15,6.25,6.05
6.05,6.05,6.05,6.05
6.52,6.20,6.52,6.12
6.62,6.60,6.73,6.60
6.20,6.25,6.25,6.20
6.35,6.80,6.80,6.35
6.75,6.75,6.80,6.60
6.56,6.70,6.79,6.56
6.70,6.70,6.70,6.70
6.90,6.89,6.90,6.71
6.95,6.95,6.95,6.85
6.79,6.75,6.79,6.75
6.77,6.60,6.77,6.60
6.60,6.60,6.60,6.60
6.70,6.52,6.70,6.52
6.52,6.52,6.52,6.52
6.52,6.52,6.52,6.52
6.75,6.75,6.75,6.75
6.60,6.70,6.95,6.59
6.95,6.75,7.00,6.75
6.75,6.75,6.75,6.75
6.75,6.75,6.76,6.75
6.99,6.81,7.00,6.81
6.85,6.70,6.85,6.70
6.85,6.70,6.85,6.70
6.70,7.19,7.19,6.65
7.15,7.15,7.15,7.15
6.91,6.95,7.08,6.91
6.73,6.71,6.73,6.71
6.70,6.70,6.70,6.70
6.70,6.70,6.70,6.70
6.75,6.75,6.75,6.75
6.80,6.80,6.80,6.80
6.72,6.72,6.72,6.72
6.68,6.70,6.70,6.68
6.70,6.75,6.75,6.70
6.75,6.70,6.94,6.70
6.70,6.70,6.70,6.70
6.75,6.54,6.80,6.52
6.70,6.51,6.70,6.51
6.52,6.50,6.58,6.50
6.50,6.06,6.52,6.00
5.90,6.05,6.60,5.90
6.09,5.91,6.53,5.91
