MOC,Command Security Corporation Common Stock,NASDAQ
2.62,2.50,2.70,2.42
2.51,2.56,2.63,2.48
2.55,2.56,2.63,2.48
2.60,2.49,2.65,2.44
2.53,2.47,2.55,2.47
2.53,2.55,2.55,2.37
2.55,2.54,2.56,2.47
2.48,2.56,2.56,2.40
2.56,2.59,2.59,2.52
2.59,2.52,2.66,2.35
2.53,2.45,2.58,2.38
2.45,2.42,2.45,2.26
2.45,2.45,2.45,2.35
2.48,2.54,2.55,2.40
2.47,2.42,2.55,2.36
2.48,2.43,2.50,2.42
2.50,2.48,2.50,2.42
2.47,2.45,2.47,2.37
2.41,2.47,2.48,2.33
2.46,2.44,2.47,2.24
2.42,2.42,2.47,2.26
2.40,2.37,2.45,2.36
2.42,2.43,2.52,2.36
2.38,2.37,2.38,2.30
2.38,2.38,2.41,2.26
2.35,2.38,2.44,2.32
2.41,2.38,2.46,2.26
2.50,2.53,2.59,2.48
2.53,2.64,2.65,2.50
2.66,2.63,2.66,2.56
2.64,2.60,2.64,2.55
2.55,2.60,2.62,2.55
2.54,2.59,2.63,2.41
2.60,2.60,2.60,2.52
2.55,2.58,2.60,2.53
2.59,2.55,2.60,2.49
2.53,2.53,2.55,2.45
2.55,2.52,2.55,2.40
2.59,2.55,2.59,2.49
2.59,2.55,2.59,2.47
2.58,2.55,2.58,2.46
2.51,2.55,2.55,2.45
2.51,2.55,2.55,2.50
2.53,2.70,2.71,2.53
2.75,2.70,2.75,2.62
2.71,2.62,2.75,2.62
2.62,2.68,2.71,2.62
2.71,2.70,2.73,2.65
2.73,2.72,2.73,2.63
2.73,2.73,2.73,2.73
2.75,2.72,2.75,2.72
2.73,2.74,2.75,2.62
2.70,2.70,2.75,2.62
2.65,2.70,2.70,2.65
2.66,2.66,2.67,2.57
2.68,2.65,2.70,2.60
2.67,2.60,2.67,2.54
2.55,2.61,2.66,2.55
2.61,2.75,2.75,2.55
2.67,2.56,2.67,2.51
2.58,2.63,2.72,2.58
2.68,2.69,2.69,2.65
2.69,2.64,2.69,2.60
2.60,2.60,2.63,2.60
2.64,2.64,2.64,2.64
2.57,2.61,2.64,2.55
2.57,2.63,2.64,2.56
2.56,2.57,2.57,2.51
2.51,2.60,2.63,2.50
2.60,2.64,2.66,2.49
2.59,2.59,2.59,2.50
2.59,2.59,2.62,2.50
2.60,2.58,2.60,2.50
2.59,2.64,2.64,2.59
2.69,2.60,2.69,2.55
2.55,2.54,2.55,2.50
2.39,2.44,2.48,2.25
2.44,2.47,2.52,2.44
2.52,2.54,2.54,2.47
2.54,2.54,2.54,2.54
2.43,2.59,2.60,2.43
2.55,2.55,2.55,2.55
2.54,2.52,2.56,2.52
2.56,2.55,2.56,2.50
2.55,2.50,2.55,2.50
2.55,2.45,2.55,2.42
2.50,2.45,2.50,2.45
2.48,2.55,2.65,2.42
2.60,2.49,2.60,2.42
2.30,2.52,2.57,2.30
2.52,2.47,2.54,2.47
2.42,2.55,2.55,2.40
2.50,2.45,2.50,2.45
2.45,2.45,2.45,2.45
2.43,2.40,2.43,2.40
2.45,2.35,2.45,2.35
2.40,2.42,2.45,2.36
2.46,2.35,2.47,2.32
2.35,2.34,2.42,2.30
2.39,2.40,2.44,2.38
2.36,2.40,2.40,2.35
2.31,2.34,2.39,2.19
2.29,2.12,2.37,1.97
1.92,2.07,2.15,1.92
2.11,2.16,2.16,2.11
2.19,2.03,2.19,1.95
1.72,2.05,2.09,1.72
2.05,2.07,2.07,2.02
2.12,2.12,2.12,2.03
2.17,2.04,2.18,2.04
2.09,2.07,2.10,2.06
2.10,2.13,2.13,2.08
2.15,2.20,2.20,2.14
2.17,2.18,2.18,2.17
2.15,2.14,2.19,2.14
2.19,2.28,2.28,2.19
2.26,2.18,2.26,2.10
2.17,2.12,2.20,2.10
2.01,2.05,2.15,1.83
2.06,2.04,2.06,1.97
2.06,2.01,2.06,2.01
2.05,2.01,2.05,2.00
2.05,2.06,2.06,2.01
2.02,2.04,2.06,2.01
2.01,2.04,2.04,1.99
1.98,2.03,2.03,1.95
2.01,1.99,2.03,1.95
2.00,2.07,2.13,2.00
2.11,2.11,2.11,2.06
2.11,2.11,2.11,2.11
2.09,2.11,2.11,2.09
2.11,2.15,2.20,2.11
2.20,2.16,2.20,2.15
2.20,2.11,2.20,2.11
2.16,2.11,2.16,2.11
1.96,2.11,2.11,1.96
2.04,2.10,2.10,2.04
2.10,2.11,2.11,2.06
2.11,2.11,2.11,2.11
2.11,2.11,2.11,2.11
2.09,2.16,2.16,2.09
2.08,2.20,2.20,2.08
2.20,2.17,2.20,2.15
2.17,2.25,2.25,2.17
2.00,2.25,2.30,2.00
2.26,2.22,2.26,2.16
2.26,2.23,2.28,2.23
2.18,2.10,2.25,2.06
2.03,2.09,2.09,2.03
2.14,2.18,2.18,2.14
2.13,2.10,2.13,1.98
2.15,2.06,2.15,2.06
2.11,2.01,2.15,2.01
2.01,2.05,2.05,1.98
2.01,2.00,2.01,1.95
1.95,2.00,2.00,1.95
2.00,2.00,2.09,2.00
1.95,1.95,2.00,1.95
2.05,2.10,2.15,1.98
2.14,2.12,2.17,2.12
2.17,2.08,2.17,2.08
2.13,2.10,2.17,2.10
2.15,2.09,2.15,2.00
2.05,2.00,2.05,1.95
2.00,2.10,2.10,2.00
2.10,2.10,2.10,2.10
2.05,2.08,2.10,2.00
2.14,2.10,2.16,1.98
2.15,2.20,2.25,2.15
2.25,2.09,2.25,2.06
2.09,2.09,2.09,2.09
2.10,2.07,2.12,2.07
2.07,2.07,2.07,2.07
2.06,2.06,2.06,2.06
2.07,2.10,2.24,2.06
2.15,2.02,2.15,2.02
2.06,2.05,2.10,2.05
2.09,2.10,2.12,2.05
2.05,2.05,2.05,2.00
2.10,2.01,2.10,1.96
2.05,2.09,2.09,2.05
2.12,2.12,2.12,2.12
2.11,2.05,2.11,2.04
2.03,2.05,2.05,1.83
2.05,2.09,2.12,2.03
2.02,2.12,2.12,1.92
2.12,2.12,2.12,2.12
2.12,2.12,2.12,2.12
2.11,2.10,2.11,2.05
2.12,2.12,2.12,2.08
2.07,2.02,2.12,2.02
2.06,2.08,2.15,1.94
2.04,2.10,2.10,2.04
2.10,2.10,2.10,2.10
2.10,1.99,2.12,1.99
2.07,2.07,2.07,2.07
2.12,2.03,2.12,2.03
1.99,2.03,2.03,1.99
1.97,2.09,2.09,1.97
2.14,2.14,2.14,2.14
2.09,2.05,2.09,1.95
1.95,2.01,2.01,1.86
2.01,2.01,2.01,2.01
2.00,2.17,2.27,2.00
2.18,2.12,2.27,2.06
2.15,2.15,2.16,2.15
2.12,2.15,2.15,2.12
2.15,2.17,2.17,2.12
2.15,2.15,2.15,2.10
2.20,2.15,2.40,2.15
2.20,2.20,2.23,2.10
2.15,2.02,2.15,1.95
2.02,2.09,2.10,2.00
2.05,2.14,2.14,2.02
2.10,2.00,2.14,2.00
2.00,2.05,2.09,2.00
2.27,2.01,2.27,1.99
2.01,2.03,2.03,1.98
1.93,1.90,1.95,1.86
1.90,2.00,2.10,1.86
1.95,1.90,2.00,1.90
1.90,1.91,1.91,1.84
1.92,1.93,1.94,1.92
1.95,1.95,1.96,1.92
1.95,1.99,2.03,1.95
1.99,1.90,2.03,1.85
1.92,1.97,1.98,1.90
1.96,1.97,2.00,1.91
2.00,1.94,2.02,1.92
1.90,1.87,1.94,1.87
1.92,1.92,1.94,1.90
1.92,1.88,1.92,1.88
1.90,1.94,2.00,1.90
1.94,1.91,1.94,1.91
1.92,1.92,1.92,1.85
1.88,1.90,1.92,1.87
1.87,1.89,1.94,1.85
1.88,1.89,1.93,1.88
1.90,1.92,1.93,1.88
1.88,1.89,1.97,1.88
1.89,1.78,1.90,1.74
1.83,1.79,1.84,1.79
1.76,1.79,1.82,1.76
1.84,1.83,1.90,1.80
1.85,1.82,1.90,1.77
1.82,1.82,1.82,1.82
1.79,1.83,1.83,1.78
1.80,1.79,1.84,1.73
1.80,1.86,1.89,1.80
1.86,1.80,1.86,1.80
1.85,1.85,1.98,1.85
1.87,2.01,2.03,1.87
1.96,1.94,2.01,1.89
1.90,1.88,1.90,1.88
1.89,1.84,1.90,1.80
1.84,1.90,1.94,1.84
1.96,1.89,2.00,1.87
1.92,1.93,2.00,1.89
1.95,1.89,2.00,1.89
1.91,1.93,2.00,1.88
1.93,1.88,1.93,1.88
1.93,2.02,2.02,1.93
2.03,1.98,2.03,1.89
2.03,1.99,2.03,1.88
1.98,1.92,1.99,1.85
1.91,1.86,1.91,1.86
1.87,1.85,1.92,1.85
1.86,1.90,1.90,1.79
1.90,1.91,1.92,1.83
1.91,1.89,1.91,1.83
1.89,1.85,1.89,1.85
1.88,1.88,1.90,1.80
1.88,1.80,1.88,1.79
1.81,1.79,1.86,1.79
1.89,1.86,1.89,1.82
1.80,1.79,1.87,1.76
1.78,1.80,1.80,1.76
1.77,1.79,1.80,1.74
1.75,1.75,1.80,1.74
1.74,1.74,1.77,1.74
1.74,1.71,1.74,1.71
1.73,1.80,1.85,1.72
1.78,1.72,1.78,1.67
1.72,1.72,1.75,1.71
1.70,1.71,1.73,1.67
1.70,1.70,1.70,1.67
1.69,1.67,1.70,1.64
