UCBA,United Community Bancorp - Common Stock,NASDAQ
6.15,6.15,6.15,6.15
6.74,6.74,6.74,6.74
6.74,6.74,6.74,6.74
6.17,6.17,6.17,6.17
6.29,6.41,6.41,6.27
6.41,6.41,6.41,6.41
6.41,6.41,6.41,6.41
6.24,6.15,6.24,6.15
6.15,6.15,6.15,6.15
6.15,6.15,6.15,6.15
6.15,6.15,6.15,6.15
6.15,6.15,6.15,6.15
6.15,6.15,6.15,6.15
6.15,6.15,6.15,6.15
6.15,6.15,6.15,6.15
6.15,6.15,6.15,6.15
6.15,6.15,6.15,6.15
6.15,6.15,6.15,6.15
6.15,6.15,6.15,6.15
6.15,6.15,6.15,6.15
6.50,6.50,6.50,6.50
6.50,6.50,6.50,6.50
6.40,6.45,6.55,6.40
6.55,6.62,6.62,6.50
6.62,6.62,6.62,6.62
6.62,6.62,6.62,6.62
6.62,6.62,6.62,6.62
6.62,6.62,6.62,6.62
6.62,6.62,6.62,6.62
6.30,6.45,6.45,6.30
6.35,6.60,6.65,6.35
6.42,6.42,6.42,6.42
6.42,6.42,6.42,6.42
6.40,6.40,6.40,6.40
6.64,6.65,6.65,6.63
6.65,6.65,6.65,6.65
6.70,6.95,6.95,6.70
6.65,6.65,6.66,6.65
6.95,6.95,6.95,6.95
6.95,6.95,6.95,6.95
6.65,6.40,6.65,6.40
6.70,6.70,6.70,6.70
6.65,6.60,6.70,6.53
6.70,6.70,6.70,6.70
6.70,6.70,6.70,6.70
6.50,6.47,6.50,6.40
6.47,6.47,6.47,6.47
6.47,6.47,6.47,6.47
6.41,6.50,6.51,6.41
6.51,6.51,6.51,6.51
6.51,6.51,6.51,6.51
6.50,6.50,6.50,6.50
6.50,6.50,6.50,6.50
6.50,6.50,6.50,6.50
6.50,6.50,6.50,6.50
6.41,6.40,6.41,6.40
6.40,6.40,6.40,6.40
6.70,6.40,6.70,6.39
6.40,6.40,6.40,6.40
6.40,6.40,6.40,6.40
6.50,6.50,6.50,6.45
6.50,6.10,6.50,6.06
6.25,6.10,6.30,6.10
6.10,6.10,6.10,6.10
6.25,6.15,6.25,6.15
6.26,6.25,6.26,6.10
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.51,6.51,6.51,6.51
6.52,6.50,6.65,6.50
6.57,6.55,6.60,6.55
6.31,6.20,6.31,6.15
6.20,6.20,6.20,6.20
6.30,6.30,6.55,6.30
6.32,6.35,6.35,6.30
6.35,6.35,6.35,6.35
6.52,6.52,6.52,6.52
6.55,6.63,6.72,6.55
6.99,6.95,7.05,6.60
7.05,7.15,7.15,7.03
7.20,7.30,7.30,7.20
7.35,7.45,7.45,7.35
7.30,7.61,7.61,7.30
7.50,7.50,7.50,7.50
7.60,7.60,7.69,7.60
7.69,7.69,7.69,7.69
7.63,7.63,7.65,7.63
7.62,7.73,7.75,6.99
7.25,7.25,7.25,7.25
7.03,7.16,7.18,7.02
7.12,7.50,7.60,7.12
7.56,7.52,7.56,7.25
7.60,7.16,7.61,7.08
7.38,7.31,7.53,7.29
7.31,7.31,7.31,7.31
7.28,7.25,7.30,7.25
7.39,7.32,7.50,7.32
7.32,7.32,7.32,7.32
7.32,7.32,7.32,7.32
7.49,7.49,7.49,7.48
7.49,7.49,7.49,7.49
7.49,7.49,7.49,7.49
7.28,7.49,7.49,7.28
7.69,7.66,7.69,7.66
7.66,7.66,7.66,7.66
7.66,7.66,7.66,7.66
7.66,7.66,7.66,7.66
7.66,7.66,7.66,7.66
7.66,7.66,7.66,7.66
7.66,7.66,7.66,7.66
7.66,7.66,7.66,7.66
7.68,7.68,7.68,7.68
7.69,7.74,7.75,7.60
7.74,7.74,7.74,7.74
7.74,7.74,7.74,7.74
7.75,7.71,7.75,7.33
7.72,7.72,7.72,7.72
7.72,7.72,7.72,7.72
7.72,7.72,7.75,7.70
7.72,7.72,7.72,7.72
7.72,7.72,7.72,7.72
7.33,7.40,7.46,7.26
7.73,7.28,7.73,7.28
7.28,7.28,7.28,7.28
7.27,7.29,7.31,7.27
7.30,7.27,7.30,7.27
7.73,7.71,7.73,7.71
7.71,7.71,7.71,7.71
7.71,7.71,7.71,7.71
7.71,7.71,7.71,7.71
7.71,7.71,7.71,7.71
7.73,7.55,7.73,7.42
7.55,7.55,7.55,7.55
7.55,7.55,7.55,7.55
7.71,7.50,7.71,7.50
7.74,7.60,7.74,7.60
7.51,7.50,7.51,7.49
7.50,7.50,7.50,7.50
7.50,7.50,7.50,7.50
7.73,7.75,7.75,7.73
7.74,7.75,7.75,7.74
7.90,7.90,7.90,7.90
7.50,7.50,7.50,7.50
7.50,7.50,7.50,7.50
7.50,7.50,7.50,7.50
7.59,7.50,7.60,7.50
7.50,7.50,7.50,7.50
7.85,7.80,7.85,7.80
7.80,7.90,7.90,7.80
7.40,7.40,7.40,7.40
7.40,7.40,7.40,7.40
8.00,7.80,8.00,7.80
7.80,7.80,7.80,7.80
7.45,7.45,7.46,7.40
7.39,7.14,7.39,7.14
