DISCB,Discovery Communications,NASDAQ
30.50,30.93,30.93,30.50
31.18,32.06,32.41,31.18
32.89,33.03,33.03,32.17
33.03,33.03,33.03,33.03
33.03,33.03,33.03,33.03
33.26,32.90,33.26,32.90
32.72,32.00,32.72,32.00
31.94,31.90,31.94,31.53
31.90,31.90,31.90,31.90
32.51,32.39,32.64,32.36
32.39,32.39,32.39,32.39
32.39,32.39,32.39,32.39
31.92,31.92,31.92,31.92
31.50,31.12,31.50,31.07
31.00,31.04,31.52,31.00
30.91,30.87,30.91,30.87
30.14,30.14,30.14,30.14
29.70,30.38,30.38,29.70
30.38,30.38,30.38,30.38
30.38,30.38,30.38,30.38
29.42,29.42,29.42,29.42
29.42,29.42,29.42,29.42
29.42,29.42,29.42,29.42
28.14,28.22,28.22,28.14
28.22,28.22,28.22,28.22
28.22,28.22,28.22,28.22
28.27,28.27,28.27,28.27
28.25,28.25,28.25,28.25
28.27,28.27,28.27,28.27
29.33,29.33,29.33,29.33
31.09,31.58,31.72,31.09
31.60,31.80,31.80,31.60
31.65,32.18,32.18,31.41
32.38,32.38,32.38,32.38
31.81,32.32,32.32,31.81
32.14,32.14,32.14,32.14
31.38,31.38,31.38,31.38
31.38,31.38,31.38,31.38
30.21,30.93,30.97,30.21
30.80,30.83,30.83,30.80
30.14,30.72,30.72,30.14
30.72,30.72,30.72,30.72
31.65,31.65,31.65,31.65
31.79,31.76,31.80,31.64
31.76,31.76,31.76,31.76
31.94,31.96,31.96,31.92
32.19,32.19,32.19,32.19
31.56,32.59,32.59,31.56
32.59,32.51,32.59,32.42
31.95,32.49,32.49,31.95
32.60,32.60,32.60,32.60
32.60,32.60,32.60,32.60
32.60,32.60,32.60,32.60
33.23,33.23,33.23,33.23
33.23,33.23,33.23,33.23
33.23,33.23,33.23,33.23
33.23,33.23,33.23,33.23
33.49,33.64,33.64,33.48
33.84,33.52,33.84,33.52
33.94,33.90,34.18,33.90
33.64,33.71,33.71,33.64
33.71,33.71,33.71,33.71
34.03,34.03,34.03,34.03
34.19,34.39,34.39,34.19
33.82,34.44,34.44,33.82
34.25,34.25,34.25,34.25
34.69,34.69,34.69,34.69
34.83,34.74,34.83,34.70
34.67,34.84,34.84,34.67
35.00,35.00,35.00,35.00
35.28,35.75,35.75,35.28
35.85,36.00,36.76,35.85
35.96,35.84,36.45,35.72
36.05,36.37,36.54,36.05
38.31,36.64,38.31,36.64
38.11,38.05,38.11,38.05
37.78,36.93,37.78,36.93
37.36,38.07,38.07,37.36
37.69,37.58,37.69,37.58
36.77,36.61,36.77,36.61
37.15,37.15,37.15,37.15
39.00,39.84,39.84,39.00
40.52,39.40,40.52,39.40
39.50,39.50,39.50,39.50
38.00,38.00,38.00,38.00
37.92,36.14,37.92,34.37
37.00,35.98,37.32,35.98
37.93,37.47,37.93,37.39
37.47,37.47,37.47,37.47
38.66,39.02,39.02,38.66
39.21,39.21,39.21,39.21
38.50,38.08,38.50,38.08
37.59,37.60,37.60,37.59
37.60,37.60,37.60,37.60
37.60,37.60,37.60,37.60
36.80,36.80,36.80,36.80
36.80,36.80,36.80,36.80
36.80,36.80,36.80,36.80
36.80,36.80,36.80,36.80
37.84,37.66,37.84,37.66
38.91,38.91,38.91,38.91
38.91,38.91,38.91,38.91
38.91,38.91,38.91,38.91
38.91,38.91,38.91,38.91
39.32,39.32,39.32,39.32
39.32,39.32,39.32,39.32
36.97,37.38,37.38,36.97
35.80,35.84,35.84,35.80
35.84,35.84,35.84,35.84
37.30,37.26,37.30,37.26
38.25,39.14,39.14,38.25
39.50,39.09,39.50,39.09
39.69,39.69,39.69,39.69
39.66,39.52,39.66,39.52
39.52,39.52,39.52,39.52
39.52,39.52,39.52,39.52
40.21,39.93,40.43,39.93
39.93,39.93,39.93,39.93
39.93,39.93,39.93,39.93
38.06,38.06,38.06,38.06
37.74,37.74,37.74,37.74
37.74,37.74,37.74,37.74
37.74,37.74,37.74,37.74
36.27,35.99,37.41,35.99
36.23,36.09,36.23,36.09
36.09,36.09,36.09,36.09
35.83,36.06,36.06,35.62
41.20,37.82,41.20,36.85
37.37,40.89,40.89,37.22
37.02,37.25,41.02,37.02
37.05,35.97,37.05,35.97
36.97,36.97,36.97,36.97
36.97,36.97,36.97,36.97
37.44,37.44,37.44,37.44
37.44,37.44,37.44,37.44
37.44,37.44,37.44,37.44
37.72,37.72,37.72,37.72
37.72,37.72,37.72,37.72
37.72,37.72,37.72,37.72
37.72,37.72,37.72,37.72
38.77,38.77,38.77,38.77
38.77,38.77,38.77,38.77
