ERII,Energy Recovery,NASDAQ
6.89,7.20,7.25,6.88
7.19,7.15,7.25,7.06
7.20,7.07,7.20,7.00
7.10,7.03,7.10,6.82
6.96,7.11,7.20,6.90
7.11,7.14,7.20,7.07
7.07,7.09,7.11,6.87
7.13,6.99,7.13,6.75
6.95,6.85,6.99,6.81
6.88,6.57,6.98,6.50
6.87,6.51,6.87,6.47
6.58,6.64,6.89,6.55
6.70,6.44,6.72,6.43
6.47,6.36,6.60,6.35
6.41,6.52,6.68,6.35
6.53,6.31,6.53,6.25
6.31,6.27,6.31,6.16
6.30,6.25,6.40,6.15
6.24,6.11,6.30,6.10
6.12,6.08,6.12,5.95
6.05,6.09,6.25,5.95
6.05,6.01,6.15,6.00
6.00,6.05,6.10,5.95
6.08,6.03,6.08,5.85
6.00,5.85,6.03,5.85
5.91,5.86,5.95,5.80
5.87,5.81,5.92,5.79
5.81,5.94,6.01,5.80
5.88,6.09,6.10,5.75
6.10,6.17,6.24,6.00
6.21,6.27,6.28,6.11
6.24,6.35,6.35,6.22
6.35,6.34,6.39,6.25
6.33,6.35,6.38,6.18
6.36,6.38,6.41,6.15
6.41,6.44,6.46,6.33
6.36,6.36,6.45,6.28
6.34,6.41,6.47,6.30
6.41,6.51,6.56,6.40
6.50,6.65,6.65,6.50
6.66,6.65,6.72,6.55
6.67,6.66,6.77,6.44
6.35,6.21,6.36,6.00
6.19,6.05,6.20,6.03
6.03,6.02,6.15,5.95
5.98,5.98,6.04,5.95
6.01,5.98,6.06,5.90
6.09,6.08,6.09,6.00
6.04,6.10,6.10,6.02
6.10,6.16,6.16,6.05
6.19,6.10,6.21,6.08
6.10,5.95,6.12,5.95
5.98,5.91,5.98,5.81
5.90,6.18,6.19,5.81
6.18,6.28,6.35,6.13
6.25,6.30,6.45,6.25
6.35,6.36,6.49,6.28
6.33,6.32,6.49,6.28
6.30,6.37,6.39,6.30
6.35,6.38,6.40,6.28
6.34,6.30,6.40,6.25
N/A,N/A,N/A,N/A
6.14,6.25,6.26,6.10
6.25,6.36,6.36,6.10
6.32,6.21,6.35,6.17
6.18,6.19,6.30,6.18
6.19,6.15,6.26,6.04
6.19,6.16,6.28,6.14
6.13,6.11,6.20,6.03
6.10,6.14,6.16,6.04
6.11,6.09,6.13,6.02
6.09,6.34,6.35,6.08
6.29,6.29,6.40,6.25
6.30,6.19,6.35,6.17
6.22,6.30,6.30,6.17
6.23,6.20,6.26,6.16
6.20,6.25,6.27,6.06
6.22,6.29,6.39,6.22
6.27,6.15,6.28,6.12
6.17,6.13,6.24,6.13
6.20,6.17,6.22,6.13
6.15,6.03,6.24,6.03
6.05,6.25,6.28,6.05
6.19,5.93,6.19,5.91
5.90,5.82,6.00,5.80
5.82,5.39,5.82,5.00
4.35,4.28,4.88,4.13
4.48,4.61,4.75,4.40
4.50,4.64,4.75,4.35
4.50,4.43,4.56,4.28
4.40,4.46,4.52,4.29
4.32,4.34,4.48,4.27
4.33,4.27,4.42,4.15
4.41,4.29,4.42,4.25
4.27,4.29,4.36,4.14
4.14,3.99,4.25,3.99
3.93,3.98,4.04,3.85
3.99,3.93,4.04,3.90
3.90,3.89,3.92,3.80
3.87,3.80,3.92,3.79
3.88,3.71,3.88,3.69
3.72,3.58,3.74,3.55
3.55,3.47,3.64,3.47
3.48,3.47,3.54,3.34
3.50,3.40,3.65,3.40
3.32,3.20,3.37,3.19
3.20,3.15,3.35,3.15
3.15,3.27,3.32,3.15
3.33,3.20,3.42,3.16
