FMBH,First Mid-Illinois Bancshares,NASDAQ
16.60,16.60,16.60,16.60
16.60,16.60,16.60,16.60
16.60,16.60,16.60,16.60
17.30,17.30,17.30,17.30
17.30,17.30,17.30,17.30
17.30,17.30,17.30,17.30
17.30,17.30,17.30,17.30
17.30,17.30,17.30,17.30
17.30,17.30,17.30,17.30
17.30,17.30,17.30,17.30
17.30,17.30,17.30,17.30
17.25,16.60,17.25,16.60
16.60,16.60,16.60,16.60
16.60,16.60,16.60,16.60
16.60,16.60,16.60,16.60
16.60,16.60,16.60,16.60
16.60,16.60,16.60,16.60
16.60,16.60,16.60,16.60
16.60,16.60,16.60,16.60
16.60,16.60,16.60,16.60
16.60,16.60,16.60,16.60
16.60,16.60,16.60,16.60
16.60,16.60,16.60,16.60
16.60,16.60,16.60,16.60
16.60,16.60,16.60,16.60
16.60,16.60,16.60,16.60
17.25,17.25,17.25,17.25
16.60,16.60,16.60,16.60
16.75,16.75,16.75,16.75
16.75,16.75,16.75,16.75
16.75,16.75,16.75,16.75
17.15,17.15,17.15,17.15
17.15,17.15,17.15,17.15
17.15,17.15,17.15,17.15
17.15,17.15,17.15,17.15
16.75,16.75,16.75,16.75
16.75,16.75,16.75,16.75
17.49,17.50,17.50,17.49
17.50,17.50,17.50,17.50
16.75,16.75,16.75,16.75
16.75,16.75,16.75,16.75
16.75,16.75,16.75,16.75
16.75,16.75,16.75,16.75
16.75,16.75,16.75,16.75
16.75,16.75,16.75,16.75
16.75,16.75,16.75,16.75
16.75,16.75,16.75,16.75
16.75,16.75,16.75,16.75
16.75,16.75,16.75,16.75
16.75,16.75,16.75,16.75
16.75,16.75,16.75,16.75
16.75,16.75,16.75,16.75
16.75,16.75,16.75,16.75
16.75,16.75,16.75,16.75
16.75,16.75,16.75,16.75
16.75,16.75,16.75,16.75
16.75,16.75,16.75,16.75
16.50,16.50,16.50,16.50
16.50,16.50,16.50,16.50
16.50,16.50,16.50,16.50
16.50,16.50,16.50,16.50
16.50,16.50,16.50,16.50
16.50,16.50,16.50,16.50
16.50,16.50,16.50,16.50
16.50,16.50,16.50,16.50
16.50,16.50,16.50,16.50
16.50,16.50,16.50,16.50
16.52,16.50,16.52,16.50
16.50,16.50,16.50,16.50
16.50,16.50,16.50,16.50
16.50,16.50,16.50,16.50
16.50,16.50,16.50,16.50
16.50,16.50,16.50,16.50
16.50,16.50,16.50,16.50
16.50,16.50,16.50,16.50
16.75,16.55,16.75,16.55
16.55,16.55,16.55,16.55
16.55,16.55,16.55,16.55
16.55,16.55,16.55,16.55
16.55,16.55,16.55,16.55
16.55,16.55,16.55,16.55
17.25,17.05,17.25,17.05
18.00,18.00,18.00,18.00
18.00,18.00,18.00,18.00
17.40,17.40,17.40,17.40
17.40,17.40,17.40,17.40
17.40,17.40,17.40,17.40
17.60,17.60,17.60,17.60
17.60,17.60,17.60,17.60
19.00,19.00,19.00,19.00
19.00,19.00,19.00,19.00
19.00,19.00,19.00,19.00
18.10,18.10,18.10,18.10
18.10,18.10,18.10,18.10
18.10,18.10,18.10,18.10
17.75,17.75,17.75,17.75
17.75,17.75,17.75,17.75
17.75,17.75,17.75,17.75
17.75,17.75,17.75,17.75
17.75,17.75,17.75,17.75
17.75,17.75,17.75,17.75
17.75,17.75,17.75,17.75
18.00,18.00,18.00,18.00
18.00,18.50,18.50,18.00
18.50,18.50,18.50,18.50
18.50,18.50,18.50,18.50
18.50,18.50,18.50,18.50
19.90,19.90,19.90,19.90
19.90,19.90,19.90,19.90
19.90,19.90,19.90,19.90
19.90,19.90,19.90,19.90
19.90,19.90,19.90,19.90
19.90,19.90,19.90,19.90
19.90,19.90,19.90,19.90
19.00,19.00,19.00,19.00
19.00,19.00,19.00,19.00
19.00,19.00,19.00,19.00
19.00,19.00,19.00,19.00
18.10,18.99,18.99,18.10
19.00,19.00,19.00,19.00
19.00,19.00,19.00,19.00
