WVFC,WVS Financial Corp. - Common Stock,NASDAQ
14.25,14.25,14.25,14.25
14.25,14.25,14.25,14.25
14.25,14.49,14.50,14.25
14.49,14.49,14.49,14.49
14.49,14.48,14.49,14.48
14.26,14.27,14.27,14.26
14.27,14.27,14.27,14.27
14.27,14.27,14.27,14.27
14.27,14.27,14.27,14.27
14.27,14.27,14.27,14.27
14.34,14.25,14.34,14.25
14.25,14.25,14.25,14.25
14.25,14.25,14.25,14.25
14.25,14.25,14.25,14.25
14.40,14.40,14.40,14.40
14.40,14.40,14.40,14.40
14.40,14.40,14.40,14.40
14.40,14.40,14.40,14.40
14.40,14.40,14.40,14.40
14.40,14.40,14.40,14.40
14.40,14.29,14.40,14.29
14.25,14.26,14.26,14.25
14.25,14.25,14.26,14.25
14.25,14.25,14.25,14.25
14.25,14.25,14.25,14.25
14.25,14.26,14.26,14.25
14.26,14.26,14.26,14.26
14.00,14.00,14.00,14.00
14.00,14.00,14.00,14.00
14.25,14.25,14.25,14.25
13.96,13.96,13.96,13.96
13.96,13.96,13.96,13.96
13.96,13.96,13.96,13.96
13.96,13.96,13.96,13.96
14.25,14.25,14.25,14.25
14.25,14.25,14.25,14.25
14.25,14.25,14.25,14.25
14.55,14.55,14.55,14.55
14.55,14.55,14.55,14.55
14.55,14.55,14.55,14.55
14.00,14.00,14.00,14.00
14.49,14.50,14.50,14.49
14.50,14.50,14.50,14.50
14.50,14.50,14.50,14.50
14.01,14.01,14.01,14.01
14.01,14.01,14.01,14.01
14.01,14.01,14.01,14.01
14.01,14.01,14.01,14.01
14.01,14.01,14.01,14.01
14.01,14.01,14.01,14.01
14.01,14.01,14.01,14.01
14.01,14.01,14.01,14.01
14.00,14.00,14.00,14.00
14.00,14.00,14.00,14.00
14.00,14.03,14.03,14.00
14.25,14.25,14.25,14.25
14.25,14.25,14.25,14.25
14.25,14.25,14.25,14.25
14.25,14.25,14.25,14.25
14.25,14.25,14.25,14.25
14.25,14.25,14.25,14.25
14.25,14.25,14.25,14.25
14.00,14.00,14.00,14.00
14.00,14.00,14.00,14.00
14.00,14.00,14.00,14.00
14.00,14.00,14.00,14.00
14.00,14.00,14.00,14.00
14.00,14.00,14.00,14.00
14.00,14.00,14.00,14.00
14.00,13.97,14.00,13.97
13.97,13.97,13.97,13.97
13.97,13.97,13.97,13.97
13.95,13.95,13.95,13.95
13.73,13.70,13.73,13.70
13.70,13.70,13.70,13.70
13.70,13.70,13.70,13.70
13.70,13.70,13.70,13.70
13.70,14.00,14.00,13.70
14.00,14.00,14.00,14.00
14.00,14.00,14.00,14.00
14.00,14.00,14.00,14.00
14.00,14.00,14.00,14.00
14.00,14.00,14.00,14.00
14.00,14.00,14.00,14.00
14.00,14.00,14.00,14.00
14.00,14.00,14.00,14.00
14.00,14.00,14.00,14.00
14.00,14.00,14.00,14.00
14.00,14.00,14.00,14.00
13.95,13.95,13.95,13.95
13.95,13.95,13.95,13.95
13.95,13.95,13.95,13.95
13.25,13.25,13.25,13.25
13.25,13.25,13.25,13.25
13.25,13.25,13.25,13.25
13.69,13.69,13.69,13.69
13.70,13.25,13.70,13.25
13.25,13.25,13.25,13.25
13.25,13.25,13.25,13.25
13.25,13.25,13.25,13.25
13.25,13.25,13.25,13.25
13.25,13.25,13.25,13.25
13.25,13.25,13.25,13.25
13.25,13.25,13.25,13.25
13.60,13.60,13.60,13.60
13.50,13.50,13.50,13.50
13.67,13.67,13.67,13.67
13.67,13.67,13.67,13.67
13.67,13.67,13.67,13.67
13.67,13.67,13.67,13.67
13.67,13.67,13.67,13.67
13.55,13.55,13.55,13.55
13.55,13.55,13.55,13.55
12.84,12.75,12.84,12.75
12.75,12.75,12.75,12.75
10.50,12.00,12.25,10.50
12.00,12.00,12.00,12.00
12.00,11.85,12.00,11.85
11.25,11.25,11.25,10.75
11.30,11.27,11.30,11.27
11.16,11.25,11.25,11.16
11.25,11.25,11.25,11.25
11.00,11.00,11.24,11.00
11.00,11.00,11.00,10.86
11.00,11.00,11.00,11.00
11.00,11.00,11.00,11.00
11.00,10.76,11.00,10.75
10.76,10.76,10.76,10.76
10.76,10.76,10.76,10.76
11.00,11.25,11.25,11.00
11.25,11.25,11.25,11.25
10.74,11.24,11.24,10.74
11.25,11.19,11.25,11.19
11.19,11.19,11.19,11.19
11.19,11.19,11.19,11.19
11.19,11.19,11.19,11.19
11.19,11.19,11.19,11.19
11.00,11.00,11.00,11.00
11.00,11.00,11.00,11.00
11.03,11.02,11.03,11.02
11.00,10.54,11.10,10.54
10.54,10.54,10.54,10.54
10.50,10.50,10.50,10.50
10.50,10.50,10.50,10.50
11.00,11.00,11.00,11.00
11.00,11.00,11.00,11.00
11.00,11.00,11.00,11.00
11.00,11.00,11.00,11.00
10.25,10.29,10.30,10.00
10.29,10.29,10.29,10.29
10.50,10.50,10.50,10.49
10.50,10.50,10.50,10.50
10.50,10.50,10.50,10.50
9.87,8.93,10.21,8.31
9.87,9.90,9.90,9.64
9.90,10.08,10.25,9.90
10.04,11.46,11.46,10.04
11.29,11.00,11.29,11.00
10.61,11.00,11.02,10.00
10.19,11.50,11.50,9.29
11.50,11.40,11.50,10.32
11.30,11.30,11.30,11.29
11.28,11.25,11.28,11.25
11.26,11.40,11.50,11.26
11.40,11.40,11.40,11.40
11.41,10.30,11.41,10.30
10.30,10.30,10.30,10.30
10.30,10.30,10.30,10.30
10.30,10.30,10.30,10.30
9.30,9.50,9.50,9.30
9.67,10.97,11.00,9.67
11.06,10.97,11.06,10.20
10.98,10.98,10.98,10.98
10.98,10.98,10.98,10.98
10.98,10.98,11.00,10.98
10.89,13.17,13.17,10.89
13.08,11.91,13.08,11.90
11.91,11.91,11.91,11.91
11.91,11.91,11.91,11.91
11.89,11.88,11.89,11.87
11.88,11.88,11.88,11.88
11.88,11.88,11.88,11.88
11.12,11.12,11.12,11.12
11.00,11.00,11.00,11.00
10.65,10.95,11.00,10.65
10.95,10.89,10.95,10.89
10.90,10.96,11.00,10.59
10.91,10.60,10.91,10.60
10.60,10.60,10.60,10.60
10.60,10.60,10.60,10.60
10.60,10.60,10.60,10.60
10.60,10.69,10.69,10.60
10.69,10.69,10.69,10.69
10.60,10.60,10.60,10.60
10.57,10.57,10.57,10.57
10.51,10.55,10.55,10.50
10.55,10.55,10.55,10.55
10.55,10.55,10.55,10.55
10.55,10.55,10.55,10.55
10.55,10.55,10.55,10.55
10.50,10.50,10.50,10.50
10.51,10.51,10.51,10.51
10.75,10.75,10.75,10.75
10.75,10.75,10.75,10.75
11.00,11.00,11.00,11.00
10.50,10.12,10.50,10.12
10.12,10.12,10.12,10.12
10.12,10.12,10.12,10.12
10.49,10.48,10.49,10.12
10.48,10.48,10.48,10.48
10.48,10.48,10.48,10.48
10.48,10.48,10.48,10.48
10.48,10.48,10.48,10.48
10.48,10.48,10.48,10.48
10.35,10.35,10.35,10.35
10.00,10.00,10.00,10.00
10.00,10.00,10.00,10.00
10.00,10.00,10.00,10.00
10.00,10.06,10.06,10.00
10.25,10.00,10.25,10.00
10.00,10.00,10.00,10.00
10.00,10.00,10.00,10.00
10.00,10.00,10.00,10.00
10.00,9.85,10.00,9.85
9.85,9.85,9.85,9.85
9.85,9.71,9.96,9.70
9.75,9.70,9.77,9.70
9.75,9.75,9.75,9.75
9.75,9.60,9.75,9.60
9.75,9.60,9.75,9.60
9.60,9.61,9.61,9.60
9.60,9.60,9.60,9.60
9.60,9.69,9.70,9.60
9.60,9.60,9.60,9.60
9.60,9.60,9.60,9.49
9.50,9.50,9.50,9.50
9.60,9.45,9.60,9.45
9.45,9.45,9.45,9.45
9.50,9.50,9.50,9.50
9.50,9.50,9.50,9.50
9.45,9.50,9.50,9.45
9.45,9.47,9.47,9.45
9.45,9.25,9.45,9.25
9.20,8.66,9.30,8.66
8.90,9.05,9.05,8.90
9.00,9.00,9.00,9.00
9.00,9.00,9.00,9.00
9.00,9.01,9.01,8.75
9.01,9.01,9.04,9.01
9.01,9.01,9.01,9.01
9.01,9.00,9.01,9.00
9.01,9.09,9.09,9.01
9.09,9.09,9.09,9.09
9.09,9.09,9.09,9.09
9.09,9.09,9.09,9.09
9.10,9.01,9.10,9.01
9.01,9.01,9.01,9.01
9.10,9.10,9.10,9.10
9.10,9.10,9.10,9.10
9.10,9.11,9.11,9.10
9.17,9.22,9.31,9.10
9.15,9.15,9.15,9.15
9.15,9.15,9.15,9.15
9.15,9.02,9.15,9.02
9.01,9.15,9.15,8.55
8.95,8.95,8.95,8.95
8.95,8.95,8.95,8.95
8.95,8.61,8.95,8.60
8.92,8.93,8.93,8.92
8.93,8.93,8.93,8.93
8.75,8.75,8.75,8.75
8.94,8.94,8.94,8.94
8.94,8.94,8.94,8.94
8.75,8.76,8.76,8.75
9.00,9.00,9.01,8.98
9.00,9.00,9.00,9.00
9.00,9.00,9.00,9.00
8.98,9.00,9.00,8.98
9.00,9.00,9.00,9.00
9.00,9.00,9.00,9.00
8.74,8.73,8.74,8.72
8.71,8.71,8.71,8.71
8.71,8.71,8.71,8.71
8.71,8.71,8.71,8.71
8.71,8.71,8.71,8.71
8.71,8.71,8.71,8.71
8.71,8.71,8.71,8.71
8.71,8.71,8.71,8.71
8.71,8.71,8.71,8.71
8.69,8.65,8.69,8.60
8.70,8.80,8.80,8.60
8.73,8.72,8.73,8.71
8.70,8.71,8.72,8.70
8.71,8.71,8.71,8.71
8.71,8.71,8.71,8.71
8.70,8.70,8.70,8.70
8.70,8.70,8.70,8.70
8.70,8.70,8.70,8.70
8.70,8.70,8.70,8.70
8.70,8.70,8.70,8.70
8.67,8.65,8.67,8.65
8.60,8.60,8.60,8.60
8.60,8.60,8.60,8.60
8.61,8.60,8.61,8.60
8.93,8.89,8.94,8.89
8.89,8.89,8.89,8.89
8.89,8.89,8.89,8.89
8.85,8.60,8.85,8.60
8.60,8.60,8.60,8.60
8.60,8.60,8.60,8.60
8.65,8.75,8.75,8.65
8.65,8.89,8.89,8.65
8.89,8.89,8.89,8.89
8.72,8.72,8.72,8.72
8.72,8.72,8.72,8.72
8.72,8.72,8.72,8.72
8.70,8.70,8.70,8.66
8.70,8.70,8.70,8.70
8.66,8.65,8.66,8.65
8.85,8.85,8.85,8.85
8.82,8.82,8.82,8.82
8.66,8.80,8.80,8.65
8.82,8.75,8.82,8.75
8.75,8.75,8.75,8.75
8.80,8.90,8.90,8.79
8.90,8.90,8.90,8.90
8.90,8.90,8.90,8.90
8.80,8.75,8.80,8.75
8.79,8.80,8.90,8.79
8.80,8.80,8.80,8.80
8.80,8.79,8.89,8.79
8.90,8.89,8.90,8.89
8.89,8.89,8.89,8.89
8.89,8.89,8.89,8.89
8.89,8.89,8.89,8.89
8.89,8.89,8.89,8.89
8.89,8.89,8.89,8.89
8.71,8.65,8.71,8.65
8.67,8.65,8.67,8.65
8.75,8.75,8.75,8.75
8.75,8.75,8.75,8.75
8.76,8.76,8.76,8.76
8.76,8.92,8.92,8.76
8.86,8.85,8.86,8.85
8.97,9.02,9.02,8.97
9.44,9.44,9.44,9.44
9.44,9.44,9.44,9.44
9.44,9.44,9.44,9.44
9.44,9.44,9.44,9.44
9.39,9.39,9.39,9.39
9.13,9.00,9.13,9.00
9.01,9.01,9.01,9.01
9.01,9.01,9.01,9.01
9.22,9.00,9.22,9.00
9.00,9.00,9.00,9.00
9.00,8.87,9.00,8.87
8.87,8.87,8.87,8.87
9.00,9.00,9.01,9.00
9.00,9.00,9.00,9.00
9.01,9.01,9.01,9.01
9.00,9.00,9.00,9.00
9.00,9.00,9.00,9.00
9.00,9.34,9.36,9.00
9.34,9.34,9.34,9.34
9.02,9.00,9.02,9.00
9.20,9.20,9.20,9.20
9.20,9.20,9.20,9.20
9.34,9.34,9.34,9.34
9.34,9.34,9.34,9.34
9.01,9.02,9.02,9.01
9.02,9.02,9.02,9.02
9.02,9.02,9.02,9.02
9.02,9.02,9.02,9.02
9.02,9.02,9.02,9.02
9.02,9.02,9.02,9.02
9.02,9.02,9.02,9.02
9.30,9.30,9.30,9.30
9.01,9.01,9.01,9.01
9.01,9.01,9.01,9.01
9.01,9.01,9.01,9.01
9.08,9.17,9.20,9.08
9.17,9.17,9.17,9.17
9.11,9.10,9.11,9.10
9.30,9.30,9.30,9.30
9.05,9.00,9.05,9.00
9.00,9.00,9.00,9.00
9.27,9.05,9.27,9.05
9.25,9.25,9.25,9.25
9.05,9.05,9.05,9.05
9.05,9.05,9.05,9.05
9.05,9.05,9.05,9.05
9.14,9.15,9.15,9.14
9.20,9.20,9.20,9.20
9.20,9.20,9.20,9.18
9.20,9.20,9.20,9.20
9.20,9.17,9.20,9.10
9.09,9.09,9.09,9.09
9.09,9.09,9.09,9.09
9.09,9.09,9.09,9.09
9.01,9.01,9.01,9.01
9.01,9.01,9.01,9.01
9.01,9.01,9.01,9.01
9.01,9.01,9.01,9.01
9.01,9.01,9.01,9.01
9.01,9.01,9.01,9.01
9.01,9.01,9.01,9.01
9.01,9.01,9.01,9.01
9.01,9.01,9.01,9.01
9.01,9.01,9.01,9.01
9.01,9.01,9.01,9.01
8.53,8.51,8.58,8.50
9.00,9.00,9.00,9.00
9.00,9.20,9.20,8.70
9.20,9.20,9.20,9.20
9.20,9.20,9.20,9.20
9.01,9.01,9.01,9.01
9.01,9.01,9.01,9.01
9.01,9.01,9.01,9.01
9.93,9.95,9.95,9.93
9.16,9.20,9.20,9.15
9.20,9.20,9.20,9.20
8.37,9.00,9.02,8.37
9.00,9.00,9.00,9.00
9.00,9.00,9.00,9.00
9.00,9.00,9.00,9.00
9.00,9.00,9.00,9.00
9.00,9.00,9.00,9.00
9.00,9.00,9.00,9.00
9.00,9.00,9.00,9.00
9.50,9.00,9.50,9.00
9.00,8.84,9.00,8.55
8.84,8.84,8.84,8.84
8.84,8.84,8.84,8.84
8.84,8.84,8.84,8.84
8.84,8.84,8.84,8.84
8.84,8.84,8.84,8.84
