ACUR,Acura Pharmaceuticals,NASDAQ
26.80,27.35,27.70,26.00
27.40,26.45,27.40,26.25
26.55,26.40,27.20,26.40
26.45,26.25,27.20,25.75
26.25,26.35,26.37,26.10
26.35,26.80,27.20,26.35
26.70,26.15,27.20,25.90
26.30,26.50,26.90,26.05
26.45,26.60,26.90,25.15
26.75,25.30,26.90,25.25
25.20,25.45,26.00,25.05
25.30,25.40,25.58,25.00
25.35,25.10,25.55,25.00
25.00,24.25,25.75,24.25
24.45,25.05,25.05,24.30
25.10,25.10,25.25,25.10
24.95,25.80,25.90,24.55
25.75,25.35,25.90,25.20
25.50,25.15,25.50,24.85
24.90,25.05,25.30,24.90
25.00,25.05,25.35,25.00
25.05,25.10,25.25,25.00
24.90,23.85,25.00,23.75
23.90,24.30,25.20,22.50
24.35,22.50,24.35,22.50
22.75,22.80,23.25,22.50
22.80,22.75,22.95,21.65
22.65,22.95,22.95,22.00
22.75,23.60,24.00,22.60
24.25,24.85,24.85,24.05
25.00,23.90,25.00,23.60
23.80,24.60,24.60,23.80
24.65,24.30,24.80,24.25
24.30,24.40,24.55,24.00
24.40,25.70,25.75,24.25
24.65,25.90,26.05,24.65
25.75,26.15,26.30,25.35
26.15,24.50,26.15,24.40
24.75,24.70,25.80,23.10
24.70,24.60,25.00,24.00
24.70,24.40,25.00,23.85
24.55,24.15,24.55,23.85
24.25,24.05,24.25,23.80
24.00,24.55,24.60,23.95
26.00,26.45,27.15,25.50
26.55,27.50,29.65,26.55
27.30,27.50,28.20,26.20
27.10,26.45,27.75,26.45
26.35,25.30,26.45,25.00
25.35,27.25,27.45,25.35
27.45,27.15,29.80,26.90
27.25,27.10,28.00,27.10
27.45,27.15,27.95,27.00
27.05,27.45,27.50,27.05
27.50,27.45,27.50,27.05
27.30,27.20,27.70,27.00
27.30,26.65,27.75,26.65
26.80,25.80,27.50,24.95
26.00,26.65,27.35,25.60
27.45,27.35,28.35,26.86
27.15,26.95,30.30,26.85
N/A,N/A,N/A,N/A
28.00,28.25,30.00,28.00
28.20,31.35,39.67,28.20
31.85,30.25,32.30,30.00
30.30,30.20,31.45,30.05
30.00,30.00,30.15,29.75
30.95,29.90,30.95,29.75
31.10,30.75,31.10,29.90
30.75,30.30,30.75,29.61
