FCAP,First Capital,NASDAQ
15.19,15.19,15.19,15.19
15.19,15.19,15.19,15.19
14.30,14.30,14.39,14.30
14.01,13.92,14.01,13.92
14.05,14.30,14.32,14.05
14.50,14.50,14.53,14.50
14.75,14.63,14.75,14.63
14.60,15.99,15.99,14.17
14.89,15.04,15.40,14.87
15.04,15.04,15.04,15.04
14.21,14.75,14.75,14.21
15.50,14.81,15.50,14.81
14.50,14.50,14.51,14.50
14.50,14.50,14.50,14.50
14.50,14.50,14.50,14.50
14.50,14.50,14.50,14.50
14.50,14.50,14.50,14.50
14.59,14.24,14.80,14.08
14.49,14.49,14.49,14.49
13.69,13.75,13.75,13.55
13.75,13.75,13.75,13.75
13.77,13.75,13.94,13.75
13.75,13.75,13.75,13.75
13.94,16.50,16.90,13.94
15.75,14.31,15.75,14.18
14.35,14.26,15.08,14.24
14.26,14.24,14.65,14.24
14.31,14.24,14.45,14.24
14.25,14.24,14.26,14.20
14.24,14.24,14.24,14.24
14.84,15.74,15.74,14.79
15.74,14.34,15.74,14.34
14.34,14.34,14.34,14.34
14.73,14.63,14.90,14.60
14.63,14.63,14.63,14.63
14.63,14.63,14.63,14.63
15.90,14.80,15.90,14.80
15.41,14.70,15.41,14.70
14.70,14.70,14.70,14.70
14.70,14.70,14.70,14.70
14.70,14.70,14.70,14.70
14.70,14.70,14.70,14.70
14.50,14.50,14.50,14.49
14.50,14.50,14.50,14.50
14.50,14.50,14.50,14.50
14.50,14.50,14.50,14.50
15.00,14.94,15.00,14.94
14.94,14.94,14.94,14.94
14.99,14.99,14.99,14.99
15.00,15.00,15.00,14.61
14.65,15.00,15.00,14.65
15.10,15.10,15.10,15.10
15.10,15.10,15.10,15.10
15.24,15.24,15.24,15.24
14.70,15.10,15.10,14.70
15.47,15.47,15.47,15.47
15.47,15.47,15.47,15.47
15.47,15.47,15.47,15.47
14.75,14.75,14.75,14.75
15.49,15.25,15.49,15.25
14.81,14.60,14.81,14.60
14.60,14.60,14.60,14.60
14.60,14.60,14.60,14.60
15.59,15.45,15.73,14.73
15.45,15.45,15.45,15.45
15.45,15.45,15.45,15.45
15.50,15.50,15.50,15.50
15.50,15.50,15.50,15.50
15.50,15.50,15.50,15.50
15.50,15.56,15.56,15.50
15.56,15.56,15.56,15.56
15.50,15.50,15.50,15.00
15.50,15.50,15.50,15.50
15.50,15.50,15.50,15.50
15.50,15.50,15.50,15.50
15.50,15.50,15.50,15.50
15.50,15.50,15.50,15.50
14.58,14.63,15.70,14.58
14.63,14.63,14.63,14.63
14.63,14.63,14.63,14.63
14.63,14.63,14.63,14.63
15.71,14.63,15.73,14.63
14.63,14.63,14.63,14.63
15.59,15.39,15.73,15.30
15.39,15.39,15.39,15.39
15.39,15.39,15.39,15.39
15.39,15.39,15.39,15.39
15.39,15.39,15.39,15.39
15.39,15.39,15.39,15.39
15.45,15.45,15.45,15.45
15.40,15.40,15.40,15.40
15.00,15.00,15.21,15.00
14.77,14.98,14.98,14.71
14.98,14.98,14.98,14.98
14.98,14.98,14.98,14.98
15.25,15.25,15.25,15.25
15.25,15.25,15.25,15.25
15.25,15.25,15.25,15.25
15.25,15.25,15.25,15.25
15.20,15.04,15.20,15.04
15.04,15.04,15.04,15.04
15.00,14.85,15.47,14.85
14.85,14.85,14.85,14.85
15.39,14.67,15.39,14.67
14.64,14.64,14.64,14.64
14.64,14.64,14.64,14.64
14.64,14.64,14.64,14.64
14.64,14.64,14.64,14.64
14.58,14.58,14.58,14.58
14.58,14.58,14.58,14.58
14.75,14.75,14.75,14.75
14.75,14.75,14.75,14.75
14.75,14.75,14.75,14.75
14.50,14.50,14.50,14.50
14.50,14.50,14.50,14.50
14.50,14.50,14.50,14.50
14.50,14.50,14.50,14.50
14.37,14.25,14.37,14.25
14.25,14.25,14.25,14.25
14.25,14.75,14.75,14.25
14.75,14.75,14.75,14.75
14.75,14.75,14.75,14.75
14.75,14.75,14.75,14.75
15.65,15.00,15.65,15.00
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
15.01,15.00,15.01,15.00
15.00,14.19,15.00,14.19
14.50,14.50,14.50,14.50
15.48,15.49,15.49,15.47
14.52,14.60,14.60,14.50
14.60,14.60,14.60,14.60
14.50,14.50,14.50,14.50
14.23,14.23,14.23,14.23
14.23,14.23,14.23,14.23
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
15.93,15.05,16.00,14.75
15.05,15.05,15.05,15.05
15.05,15.05,15.05,15.05
15.05,15.05,15.05,15.05
15.05,15.05,15.05,15.05
14.56,14.57,14.57,14.56
14.57,14.57,14.57,14.57
14.57,14.57,14.57,14.57
14.57,14.57,14.57,14.57
14.57,14.57,14.57,14.57
14.57,14.57,14.57,14.57
14.50,15.49,15.49,14.50
15.49,15.49,15.49,15.49
15.01,14.50,15.01,14.50
14.50,14.50,14.50,14.50
14.50,14.50,14.50,14.50
14.53,15.42,15.47,14.50
15.42,15.42,15.42,15.42
15.12,15.12,15.12,15.12
15.12,15.12,15.12,15.12
15.12,15.12,15.12,15.12
15.12,15.12,15.12,15.12
15.12,15.12,15.12,15.12
14.90,14.50,15.09,14.50
15.25,15.25,15.25,15.25
15.00,15.00,15.00,15.00
