SGOC,SGOCO Group,NASDAQ
7.81,7.81,7.81,7.81
7.81,7.81,7.81,7.81
7.81,7.81,7.81,7.81
7.81,7.81,7.81,7.81
7.81,7.81,7.81,7.81
7.81,7.81,7.81,7.81
7.81,7.81,7.81,7.81
7.81,7.81,7.81,7.81
7.81,7.81,7.81,7.81
7.81,7.81,7.81,7.81
7.81,7.81,7.81,7.81
7.81,7.81,7.81,7.81
7.81,7.81,7.81,7.81
7.81,7.81,7.81,7.81
7.81,7.81,7.81,7.81
7.81,7.81,7.81,7.81
7.81,7.81,7.81,7.81
7.81,7.81,7.81,7.81
7.88,7.88,7.88,7.88
7.88,7.88,7.88,7.88
7.88,7.88,7.88,7.88
7.88,7.88,7.88,7.88
7.90,7.90,7.90,7.90
7.90,7.90,7.90,7.90
7.90,7.90,7.90,7.90
7.90,7.90,7.90,7.90
8.00,8.00,8.00,8.00
7.98,7.98,7.98,7.98
7.98,7.98,7.98,7.98
7.98,7.98,7.98,7.98
7.98,7.98,7.98,7.98
7.98,7.98,7.98,7.98
7.98,7.98,7.98,7.98
7.98,7.98,7.98,7.98
7.98,7.98,7.98,7.98
7.98,7.98,7.98,7.98
7.98,7.98,7.98,7.98
7.98,7.98,7.98,7.98
7.98,7.98,7.98,7.98
7.98,7.98,7.98,7.98
7.98,7.98,7.98,7.98
7.98,7.98,7.98,7.98
7.98,7.98,7.98,7.98
7.98,7.98,7.98,7.98
7.98,7.98,7.98,7.98
8.00,7.73,8.00,7.73
7.73,7.73,7.73,7.73
7.73,7.73,7.73,7.73
7.75,7.75,7.75,7.75
7.75,7.05,7.75,7.05
7.05,7.05,7.05,7.05
7.40,7.00,7.40,7.00
7.00,7.00,7.00,7.00
7.00,6.25,7.00,6.25
6.25,6.25,6.25,6.25
7.95,7.95,7.95,7.95
7.95,7.95,7.95,7.95
6.25,6.25,6.25,6.25
7.80,7.80,7.80,7.80
7.80,7.80,7.80,7.80
7.80,7.80,7.80,7.80
7.80,7.80,7.80,7.80
7.80,7.80,7.80,7.80
7.80,7.80,7.80,7.80
7.80,7.80,7.80,7.80
7.80,7.80,7.80,7.80
7.80,7.80,7.80,7.80
7.80,7.80,7.80,7.80
7.80,7.80,7.80,7.80
7.80,7.80,7.80,7.80
7.80,7.80,7.80,7.80
7.80,7.80,7.80,7.80
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
