MFNC,Mackinac Financial Corporation - Common Stock,NASDAQ
4.64,4.64,4.64,4.64
4.64,4.64,4.64,4.64
4.50,4.50,4.50,4.50
4.50,4.50,4.50,4.50
4.50,4.50,4.50,4.50
4.50,4.50,4.50,4.50
4.43,4.32,4.45,4.32
4.32,4.32,4.32,4.32
4.12,4.12,4.12,4.12
4.64,4.64,4.64,4.64
4.65,4.65,4.65,4.65
4.65,4.65,4.65,4.65
4.65,4.65,4.65,4.65
4.65,4.65,4.65,4.65
4.65,4.65,4.65,4.65
4.65,4.65,4.65,4.65
4.65,4.65,4.65,4.65
4.65,4.65,4.65,4.65
4.65,4.65,4.65,4.65
4.65,4.65,4.65,4.65
4.65,4.65,4.65,4.65
4.65,4.65,4.65,4.65
4.65,4.65,4.65,4.65
4.30,4.30,4.30,4.09
4.61,4.65,4.65,4.61
4.48,4.50,4.50,4.48
4.50,4.50,4.50,4.50
4.50,4.50,4.50,4.50
4.50,4.50,4.50,4.50
4.50,4.50,4.50,4.50
4.36,4.36,4.36,4.36
4.36,4.36,4.36,4.36
4.36,4.36,4.36,4.36
4.35,4.37,4.38,4.35
4.37,4.37,4.37,4.37
4.37,4.37,4.37,4.37
4.37,4.37,4.37,4.37
4.74,4.72,4.74,4.72
4.72,4.72,4.72,4.72
5.00,5.20,5.20,5.00
5.05,5.05,5.05,5.05
5.05,5.05,5.05,4.73
5.05,5.05,5.05,5.05
4.77,4.75,5.12,4.75
4.75,4.80,4.80,4.75
4.83,4.83,4.83,4.83
4.99,4.95,5.00,4.95
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
4.72,4.72,4.72,4.72
4.72,4.72,4.72,4.72
4.72,4.72,4.72,4.72
4.72,4.72,4.72,4.72
4.72,4.72,4.72,4.72
4.72,4.72,4.72,4.72
4.72,4.72,4.72,4.72
4.98,4.98,5.00,4.97
4.82,4.72,4.82,4.72
4.82,4.72,4.82,4.72
4.72,4.72,4.72,4.72
4.72,4.72,4.72,4.72
4.72,4.72,4.72,4.72
4.93,4.93,4.93,4.93
4.93,4.93,4.93,4.93
4.53,4.51,4.53,4.51
4.51,4.51,4.51,4.51
4.51,4.51,4.51,4.51
4.51,4.51,4.51,4.51
4.88,4.89,4.89,4.87
4.89,4.89,4.89,4.89
4.94,4.94,4.94,4.94
4.94,4.94,4.94,4.94
4.94,4.94,4.94,4.94
4.94,4.94,4.94,4.94
4.51,4.94,4.94,4.51
5.00,5.00,5.00,4.99
5.05,5.00,5.05,5.00
4.51,5.38,5.52,4.51
5.50,5.46,5.50,5.46
5.46,5.46,5.46,5.46
5.46,5.46,5.46,5.46
5.45,6.23,7.39,5.45
6.23,6.03,6.35,6.00
6.28,6.40,6.40,6.20
5.95,6.55,6.55,5.50
6.55,6.55,6.55,6.55
6.34,6.34,6.34,6.34
6.23,6.24,6.24,6.23
6.22,6.22,6.22,6.22
6.23,6.23,6.23,6.23
6.21,5.77,6.21,5.75
5.77,5.77,5.77,5.77
6.50,5.50,6.50,5.15
5.17,5.22,5.22,5.17
5.04,5.00,5.04,5.00
5.00,5.00,5.00,5.00
5.00,5.00,5.00,5.00
5.70,5.11,5.70,5.10
5.70,5.61,5.72,5.61
5.61,5.61,5.61,5.61
5.57,6.00,6.78,5.57
6.55,6.40,6.55,6.40
6.40,6.40,6.40,6.40
6.40,6.54,6.54,6.40
6.55,6.55,6.55,6.55
6.50,6.50,6.58,6.50
6.70,6.40,6.70,6.40
6.37,6.20,6.37,6.20
6.20,6.20,6.20,6.20
6.50,6.75,6.75,6.50
6.50,6.50,6.50,6.50
6.58,6.64,6.71,6.54
7.00,6.47,7.00,6.42
